home,away,home_score,away_score
Real Madrid,Real Betis,0,0
Rayo Vallecano,Levante,2,4
Valencia,Celta Vigo,2,0
Elche,Getafe,3,1
Granada,Espanyol,0,0
Osasuna,Mallorca,0,2
Deportivo Alaves,Cadiz,0,1
Barcelona,Villarreal,0,2
Real Sociedad,Atletico Madrid,1,2
Sevilla,Athletic Bilbao,1,0
Real Madrid,Real Betis,0,0
Rayo Vallecano,Levante,2,4
Valencia,Celta Vigo,2,0
Elche,Getafe,3,1
Granada,Espanyol,0,0
Osasuna,Mallorca,0,2
Deportivo Alaves,Cadiz,0,1
Barcelona,Villarreal,0,2
Real Sociedad,Atletico Madrid,1,2
Sevilla,Athletic Bilbao,1,0
Valencia,Real Betis,0,3
Granada,Athletic Bilbao,1,0
Barcelona,Celta Vigo,3,1
Osasuna,Getafe,1,1
Deportivo Alaves,Espanyol,2,1
Sevilla,Mallorca,0,0
Elche,Atletico Madrid,0,2
Real Sociedad,Cadiz,3,0
Rayo Vallecano,Villarreal,1,5
Real Madrid,Levante,6,0
Espanyol,Valencia,1,1
Levante,Deportivo Alaves,3,1
Villarreal,Real Sociedad,1,2
Athletic Bilbao,Osasuna,2,0
Atletico Madrid,Sevilla,1,1
Real Betis,Granada,2,0
Celta Vigo,Elche,1,0
Mallorca,Rayo Vallecano,2,1
Getafe,Barcelona,0,0
Cadiz,Real Madrid,1,1
Getafe,Real Betis,0,0
Levante,Real Sociedad,2,1
Mallorca,Granada,2,6
Athletic Bilbao,Valencia,0,0
Celta Vigo,Deportivo Alaves,4,0
Cadiz,Elche,3,0
Real Betis,Barcelona,1,2
Getafe,Rayo Vallecano,0,0
Villarreal,Sevilla,1,1
Espanyol,Osasuna,1,1
Atletico Madrid,Real Madrid,1,0
Sevilla,Cadiz,1,1
Deportivo Alaves,Villarreal,2,1
Real Madrid,Espanyol,4,0
Valencia,Levante,1,1
Athletic Bilbao,Atletico Madrid,2,0
Elche,Osasuna,1,1
Granada,Celta Vigo,1,1
Rayo Vallecano,Real Sociedad,1,1
Barcelona,Mallorca,2,1
Barcelona,Cadiz,0,1
Mallorca,Deportivo Alaves,2,1
Real Betis,Elche,0,1
Villarreal,Valencia,2,0
Atletico Madrid,Granada,0,0
Celta Vigo,Getafe,0,2
Osasuna,Real Madrid,1,3
Espanyol,Rayo Vallecano,0,1
Levante,Sevilla,2,3
Cadiz,Athletic Bilbao,2,3
Real Sociedad,Barcelona,0,1
Barcelona,Rayo Vallecano,0,1
Rayo Vallecano,Valencia,1,1
Real Sociedad,Real Betis,0,0
Elche,Mallorca,3,0
Deportivo Alaves,Rayo Vallecano,1,0
Valencia,Osasuna,1,2
Getafe,Villarreal,1,2
Granada,Levante,1,4
Atletico Madrid,Espanyol,2,1
Athletic Bilbao,Celta Vigo,0,2
Sevilla,Real Madrid,2,3
Real Sociedad,Espanyol,1,0
Sevilla,Granada,4,2
Cadiz,Real Betis,1,2
Mallorca,Atletico Madrid,1,0
Villarreal,Athletic Bilbao,1,1
Real Madrid,Getafe,2,0
Osasuna,Deportivo Alaves,1,0
Espanyol,Celta Vigo,1,0
Elche,Real Sociedad,1,2
Levante,Barcelona,2,3
Getafe,Mallorca,1,0
Levante,Villarreal,2,0
Celta Vigo,Real Madrid,1,2
Atletico Madrid,Deportivo Alaves,4,1
Athletic Bilbao,Elche,2,1
Real Betis,Osasuna,4,1
Valencia,Cadiz,0,0
Granada,Rayo Vallecano,2,2
Barcelona,Sevilla,1,0
