home,away,home_score,away_score
Real Madrid,Athletic Bilbao,1,1
Villarreal,Atletico Madrid,2,2
Mallorca,Rayo Vallecano,3,0
Real Sociedad,Sevilla,2,1
Osasuna,Girona,2,1
Celta Vigo,Barcelona,2,1
Real Valladolid,Getafe,0,0
Elche,Cadiz,1,1
Espanyol,Almeria,3,3
Real Betis,Valencia,1,1
Real Madrid,Athletic Bilbao,1,1
Villarreal,Atletico Madrid,2,2
Mallorca,Rayo Vallecano,3,0
Real Sociedad,Sevilla,2,1
Osasuna,Girona,2,1
Celta Vigo,Barcelona,2,1
Real Valladolid,Getafe,0,0
Elche,Cadiz,1,1
Espanyol,Almeria,3,3
Real Betis,Valencia,1,1
Celta Vigo,Girona,1,1
Real Sociedad,Almeria,1,0
Real Valladolid,Barcelona,3,1
Villarreal,Cadiz,2,0
Real Madrid,Rayo Vallecano,2,1
Elche,Sevilla,1,1
Real Betis,Getafe,0,1
Espanyol,Atletico Madrid,3,3
Mallorca,Valencia,1,0
Osasuna,Athletic Bilbao,2,0
Sevilla,Real Madrid,1,2
Athletic Bilbao,Elche,0,1
Atletico Madrid,Real Sociedad,2,1
Barcelona,Mallorca,3,0
Getafe,Osasuna,2,1
Cadiz,Celta Vigo,1,0
Rayo Vallecano,Villarreal,2,1
Almeria,Real Valladolid,0,0
Girona,Real Betis,1,2
Valencia,Espanyol,2,2
Real Betis,Rayo Vallecano,3,1
Cadiz,Real Valladolid,2,0
Girona,Villarreal,1,2
Athletic Bilbao,Celta Vigo,2,1
Almeria,Mallorca,3,0
Getafe,Elche,1,1
Barcelona,Real Sociedad,1,2
Rayo Vallecano,Espanyol,1,2
Atletico Madrid,Osasuna,3,0
Valencia,Real Madrid,1,0
Sevilla,Real Betis,0,0
Mallorca,Cadiz,1,0
Real Sociedad,Girona,2,2
Osasuna,Almeria,3,1
Villarreal,Athletic Bilbao,5,1
Real Madrid,Getafe,1,0
Celta Vigo,Valencia,1,2
Elche,Atletico Madrid,1,0
Real Valladolid,Sevilla,0,3
Espanyol,Barcelona,2,4
Mallorca,Athletic Bilbao,1,1
Sevilla,Girona,0,2
Barcelona,Osasuna,1,0
Almeria,Elche,2,1
Real Sociedad,Real Madrid,2,0
Valencia,Villarreal,1,1
Atletico Madrid,Cadiz,5,1
Getafe,Celta Vigo,1,0
Sevilla,Espanyol,3,2
Girona,Mallorca,2,1
Rayo Vallecano,Real Valladolid,2,1
Athletic Bilbao,Real Betis,0,1
Cadiz,Osasuna,0,1
Girona,Real Madrid,4,2
Real Betis,Real Sociedad,0,0
Getafe,Almeria,1,2
Atletico Madrid,Mallorca,3,1
Rayo Vallecano,Barcelona,2,1
Celta Vigo,Elche,1,0
Valencia,Real Valladolid,2,1
Villarreal,Espanyol,4,2
Athletic Bilbao,Sevilla,0,1
Osasuna,Real Sociedad,0,2
Elche,Rayo Vallecano,4,0
Real Madrid,Almeria,4,2
Barcelona,Real Betis,4,0
Cadiz,Valencia,2,1
Villarreal,Celta Vigo,3,1
Espanyol,Getafe,1,0
Real Valladolid,Atletico Madrid,2,5
Celta Vigo,Mallorca,0,1
Espanyol,Cadiz,0,0
Osasuna,Real Betis,3,2
Almeria,Athletic Bilbao,1,2
Real Sociedad,Rayo Vallecano,2,1
