name,team,min,goal,assist,shot,pass,aer,mom,rating
Antoine Griezmann,Atletico,2863,15,16,2.9,0.8240000000000001,0.7,13,7.69
Karim Benzema,Real Madrid,2044,19,3,4.5,0.87,0.6,6,7.53
Robert Lewandowski,Barcelona,2852,23,7,4.0,0.7809999999999999,1.5,7,7.49
Vinícius Júnior,Real Madrid,2833,10,9,2.3,0.8059999999999999,0.1,4,7.35
Rodrygo,Real Madrid,2382,9,8,2.9,0.8959999999999999,0.4,4,7.26
Pedri,Barcelona,1983,6,1,0.8,0.8759999999999999,0.1,4,7.2
Joselu,Espanyol,2989,16,2,2.7,0.61,5.1,5,7.15
Frenkie de Jong,Barcelona,2539,2,4,0.5,0.914,1.0,4,7.15
Ousmane Dembélé,Barcelona,1416,5,7,2.0,0.8340000000000001,0.2,3,7.14
Mikel Merino,Real Sociedad,2500,2,9,1.3,0.7759999999999999,3.4,7,7.13
Antoine Griezmann,Atletico,2863,15,16,2.9,0.8240000000000001,0.7,13,7.69
Karim Benzema,Real Madrid,2044,19,3,4.5,0.87,0.6,6,7.53
Robert Lewandowski,Barcelona,2852,23,7,4.0,0.7809999999999999,1.5,7,7.49
Leo Román,Mallorca,90,0,0,0.0,0.667,0.0,0,7.38
Vinícius Júnior,Real Madrid,2833,10,9,2.3,0.8059999999999999,0.1,4,7.35
Rodrygo,Real Madrid,2382,9,8,2.9,0.8959999999999999,0.4,4,7.26
Memphis Depay,Barcelona,116,1,0,3.0,0.8390000000000001,0.5,0,7.23
Pedri,Barcelona,1983,6,1,0.8,0.8759999999999999,0.1,4,7.2
Joselu,Espanyol,2989,16,2,2.7,0.61,5.1,5,7.15
Frenkie de Jong,Barcelona,2539,2,4,0.5,0.914,1.0,4,7.15
Gerónimo Rulli,Villarreal,1260,0,0,0.0,0.8370000000000001,0.2,2,7.14
Ousmane Dembélé,Barcelona,1416,5,7,2.0,0.8340000000000001,0.2,3,7.14
Mikel Merino,Real Sociedad,2500,2,9,1.3,0.7759999999999999,3.4,7,7.13
Gonzalo Escalante,Cadiz,1126,4,1,1.0,0.758,1.9,2,7.1
Lee Kang In,Mallorca,2841,6,6,1.3,0.8029999999999999,0.6,6,7.09
Federico Valverde,Real Madrid,2509,7,4,1.9,0.884,0.9,4,7.08
Sergi Darder,Espanyol,3325,6,3,1.0,0.785,0.3,5,7.08
Enes Ünal,Getafe,2986,14,3,2.5,0.609,4.6,5,7.07
Juan Foyth,Villarreal,1960,1,0,0.6,0.878,1.5,1,7.06
Isi Palazón,Rayo Vallecano,2990,9,5,2.5,0.789,0.8,3,7.05
Raphinha,Barcelona,2087,7,7,2.2,0.799,0.4,6,7.04
Toni Kroos,Real Madrid,2164,2,4,1.0,0.946,0.2,1,7.04
Aleix García,Girona,2341,1,5,1.1,0.889,0.4,2,7.04
Aurélien Tchouaméni,Real Madrid,2120,0,4,1.2,0.935,1.5,2,7.04
David Gil,Cadiz,360,0,0,0.0,0.447,0.0,0,7.04
Jeremías Ledesma,Cadiz,3060,0,0,0.0,0.46799999999999997,0.3,5,7.03
Éder Militão,Real Madrid,2703,5,0,0.7,0.887,1.9,2,7.03
Vedat Muriqi,Mallorca,2953,15,3,2.2,0.578,5.7,4,7.01
Sergio Busquets,Barcelona,2347,0,4,0.3,0.887,1.8,0,6.99
Takefusa Kubo,Real Sociedad,2452,9,4,2.1,0.759,0.5,4,6.98
Guido Rodríguez,Real Betis,2878,1,0,0.6,0.8740000000000001,1.3,3,6.98
José Gayà,Valencia,2716,1,3,0.7,0.81,0.8,3,6.98
Javi Galán,Celta Vigo,3163,0,3,0.4,0.807,0.9,5,6.98
Jules Koundé,Barcelona,2429,1,3,0.5,0.888,1.5,1,6.97
José Giménez,Atletico,2421,2,1,0.8,0.888,1.8,2,6.96
Dani Parejo,Villarreal,3289,3,4,0.8,0.9059999999999999,0.5,2,6.96
Marco Asensio,Real Madrid,1436,9,6,1.9,0.879,0.1,3,6.94
Thibaut Courtois,Real Madrid,2790,0,0,0.0,0.8390000000000001,0.3,2,6.94
Gerard Moreno,Villarreal,1227,7,3,2.0,0.7509999999999999,0.9,1,6.94
Brais Méndez,Real Sociedad,2418,8,4,1.8,0.8240000000000001,0.7,2,6.93
Loïc Badé,Sevilla,1448,1,0,0.2,0.875,1.8,3,6.92
Iago Aspas,Celta Vigo,2868,12,3,2.1,0.79,0.8,2,6.91
Viktor Tsygankov,Girona,1494,3,6,1.0,0.7290000000000001,0.4,1,6.91
Ronald Araújo,Barcelona,1802,0,2,0.8,0.8909999999999999,2.1,0,6.91
Yeremy Pino,Villarreal,2465,4,5,1.4,0.795,0.7,2,6.91
Lucas Robertone,Almeria,2860,2,7,1.0,0.8240000000000001,0.6,2,6.91
Reinildo,Atletico,1860,0,0,0.3,0.871,1.4,1,6.91
Félix Garreta,Real Betis,90,0,0,0.0,0.872,1.0,0,6.9
Alejandro Balde,Barcelona,2477,1,6,0.6,0.9109999999999999,0.6,1,6.9
Nico Williams,Athletic Bilbao,2675,6,4,1.7,0.784,0.6,3,6.89
Samuel Chukwueze,Villarreal,2350,6,5,1.6,0.7829999999999999,0.4,3,6.89
Claudio Bravo,Real Betis,1080,0,0,0.0,0.55,0.3,1,6.88
Antonio Raíllo,Mallorca,2767,2,3,0.4,0.8320000000000001,3.0,1,6.88
Nicolas Jackson,Villarreal,1603,12,4,1.6,0.764,0.5,4,6.87
Ayoze Pérez,Real Betis,1395,3,1,1.8,0.81,0.4,1,6.87
Marc André ter Stegen,Barcelona,3349,0,0,0.0,0.8240000000000001,0.2,0,6.86
Yannick Carrasco,Atletico,2330,7,3,1.9,0.848,0.1,0,6.85
Umar Sadiq,Almeria,242,2,0,2.3,0.618,1.3,0,6.85
Alexander Sørloth,Real Sociedad,2398,12,3,1.9,0.695,1.8,3,6.85
David Silva,Real Sociedad,1958,2,5,1.1,0.861,0.4,2,6.85
Álvaro Morata,Atletico,1906,13,2,2.0,0.645,1.6,2,6.85
Gerard Piqué,Barcelona,383,0,0,0.4,0.922,2.9,0,6.85
Aitor Fernández,Osasuna,1890,0,0,0.0,0.614,0.1,2,6.85
André Almeida,Valencia,2552,2,4,0.7,0.8490000000000001,0.4,1,6.84
David Soria,Getafe,3420,0,0,0.0,0.49700000000000005,0.1,6,6.84
Gavi,Barcelona,2543,2,4,0.8,0.875,1.1,0,6.84
Álex Moreno,Real Betis,1350,0,3,0.9,0.774,0.6,0,6.83
Iñaki Williams,Athletic Bilbao,2853,10,3,2.4,0.711,0.9,3,6.83
Jordi Masip,Real Valladolid,2508,0,0,0.0,0.664,0.3,1,6.83
Giovani Lo Celso,Villarreal,1130,2,3,1.4,0.865,0.1,2,6.82
Jordi Alba,Barcelona,1423,2,3,0.5,0.866,0.3,1,6.82
Andreas Christensen,Barcelona,1767,1,1,0.4,0.94,1.8,0,6.82
Álvaro García,Rayo Vallecano,2890,5,5,1.5,0.716,0.3,4,6.82
Gabri Veiga,Celta Vigo,2308,11,4,1.7,0.769,0.5,3,6.82
Íñigo Martínez,Athletic Bilbao,1339,1,0,0.7,0.818,1.7,0,6.81
Samuel Lino,Valencia,2897,6,1,2.5,0.804,0.4,2,6.81
Juan Miranda,Real Betis,1475,3,2,1.0,0.768,1.0,2,6.81
Marcos Llorente,Atletico,1712,1,2,1.1,0.8590000000000001,0.5,1,6.81
Rodrigo De Paul,Atletico,1935,2,7,0.7,0.8420000000000001,0.2,2,6.81
Pau Torres,Villarreal,3055,1,0,0.4,0.853,1.7,1,6.8
Adri Embarba,Almeria,1477,4,3,1.7,0.748,0.3,3,6.8
Anuar Tuhami,Real Valladolid,212,1,0,1.0,0.763,0.7,1,6.8
Yuri Berchiche,Athletic Bilbao,2408,1,1,1.0,0.841,1.8,1,6.79
Yeray Álvarez,Athletic Bilbao,2337,1,1,0.3,0.8109999999999999,2.0,1,6.79
Nahuel Molina,Atletico,2872,4,2,0.6,0.794,0.7,0,6.79
Lucas Boyé,Elche,2475,7,2,2.1,0.797,1.4,4,6.79
Iza Carcelén,Cadiz,2204,0,1,0.3,0.809,0.8,0,6.79
Selim Amallah,Real Valladolid,270,2,1,0.7,0.772,1.0,1,6.79
Eduardo Camavinga,Real Madrid,2003,0,1,0.5,0.912,0.6,0,6.78
Youssouf Sabaly,Real Betis,1681,1,1,0.5,0.831,0.2,0,6.78
Pablo Maffeo,Mallorca,2980,2,4,0.6,0.7090000000000001,1.4,3,6.78
Marcos Acuña,Sevilla,1917,3,2,0.7,0.8059999999999999,1.0,1,6.78
Javi Guerra,Valencia,603,1,0,1.5,0.816,0.6,0,6.77
Pape Gueye,Sevilla,1177,1,3,1.3,0.8370000000000001,1.2,2,6.77
Santi Comesaña,Rayo Vallecano,2470,3,2,0.7,0.838,0.9,1,6.77
David García,Osasuna,2684,2,0,0.5,0.81,2.7,0,6.77
Robin Le Normand,Real Sociedad,2795,0,0,0.4,0.882,3.3,1,6.76
Dominik Greif,Mallorca,90,0,0,0.0,0.583,0.0,0,6.76
Ivo Grbic,Atletico,923,0,0,0.0,0.616,0.3,0,6.76
David López,Girona,1658,3,1,0.6,0.9009999999999999,1.5,2,6.75
Gonzalo Plata,Real Valladolid,2310,1,5,1.1,0.7809999999999999,0.5,2,6.75
Diego Rico,Real Sociedad,1647,0,0,0.5,0.792,1.0,1,6.75
Alexander Isak,Real Sociedad,154,1,0,1.5,0.63,0.0,0,6.74
Dani Ceballos,Real Madrid,1568,0,4,0.6,0.917,0.1,0,6.74
Gerard Gumbau,Elche,2745,1,6,1.3,0.8170000000000001,0.6,2,6.74
Alex Berenguer,Athletic Bilbao,2304,4,1,1.5,0.748,0.9,2,6.74
Copete,Mallorca,2215,1,0,0.2,0.7709999999999999,1.4,3,6.74
Omar Alderete,Getafe,2051,1,1,0.7,0.591,2.5,2,6.74
Arnau Martínez,Girona,2737,3,4,0.6,0.8240000000000001,1.1,2,6.74
Diego López,Valencia,448,3,1,1.2,0.696,0.7,0,6.74
Germán Pezzella,Real Betis,2515,0,0,0.3,0.8640000000000001,2.4,2,6.74
Unai Núñez,Celta Vigo,3151,0,0,0.4,0.8640000000000001,2.0,1,6.74
