home,away,home_score,away_score
Levante,Cadiz,2,2
Osasuna,Real Sociedad,0,1
Real Madrid,Villarreal,2,1
Celta Vigo,Real Betis,2,3
Eibar,Barcelona,0,1
Real Valladolid,Atletico Madrid,1,2
Elche,Athletic Bilbao,2,0
SD Huesca,Valencia,0,0
Granada,Getafe,0,0
Sevilla,Deportivo Alaves,1,0
Levante,Cadiz,2,2
Osasuna,Real Sociedad,0,1
Real Madrid,Villarreal,2,1
Celta Vigo,Real Betis,2,3
Eibar,Barcelona,0,1
Real Valladolid,Atletico Madrid,1,2
Elche,Athletic Bilbao,2,0
SD Huesca,Valencia,0,0
Granada,Getafe,0,0
Sevilla,Deportivo Alaves,1,0
Real Betis,Granada,2,1
Osasuna,Cadiz,3,2
Elche,Deportivo Alaves,0,2
Levante,Barcelona,3,3
Sevilla,Valencia,1,0
SD Huesca,Athletic Bilbao,1,0
Celta Vigo,Getafe,1,0
Atletico Madrid,Real Sociedad,2,1
Real Valladolid,Villarreal,0,2
Eibar,Real Betis,1,1
Granada,Real Madrid,1,4
Deportivo Alaves,Granada,4,2
Athletic Bilbao,Real Madrid,0,1
Atletico Madrid,Osasuna,2,1
Barcelona,Celta Vigo,1,2
Real Betis,SD Huesca,1,0
Getafe,Levante,2,1
Cadiz,Elche,1,3
Real Sociedad,Real Valladolid,4,1
Valencia,Eibar,4,1
Villarreal,Sevilla,4,0
Sevilla,Athletic Bilbao,0,1
Real Sociedad,Elche,2,0
Deportivo Alaves,Levante,2,2
Barcelona,Atletico Madrid,0,0
Cadiz,SD Huesca,2,1
Athletic Bilbao,Osasuna,2,2
Getafe,Eibar,0,1
Valencia,Real Valladolid,3,0
Villarreal,Celta Vigo,2,4
Real Madrid,Sevilla,2,2
Eibar,Real Sociedad,0,1
Athletic Bilbao,Real Valladolid,2,2
Barcelona,Granada,1,2
Celta Vigo,Levante,2,0
Eibar,Deportivo Alaves,3,0
Elche,Atletico Madrid,0,1
SD Huesca,Real Sociedad,1,0
Real Madrid,Osasuna,2,0
Real Valladolid,Real Betis,1,1
Villarreal,Getafe,1,0
Granada,Cadiz,0,1
Valencia,Barcelona,2,3
Levante,Sevilla,0,1
Osasuna,Valencia,3,1
Real Betis,Athletic Bilbao,0,0
Deportivo Alaves,Villarreal,2,1
Elche,Real Valladolid,1,1
Cadiz,Real Madrid,0,3
Atletico Madrid,SD Huesca,2,0
Granada,Eibar,4,1
Real Sociedad,Celta Vigo,2,1
Barcelona,Getafe,5,2
Elche,Levante,1,0
Real Valladolid,Cadiz,1,1
Valencia,Deportivo Alaves,1,1
Real Madrid,Real Betis,0,0
SD Huesca,Getafe,0,2
Villarreal,Barcelona,1,2
Celta Vigo,Osasuna,2,1
Sevilla,Granada,2,1
Athletic Bilbao,Atletico Madrid,2,1
Celta Vigo,Sevilla,3,4
Osasuna,Elche,2,0
Real Sociedad,Sevilla,1,2
Atletico Madrid,Eibar,5,0
Deportivo Alaves,SD Huesca,1,0
Real Betis,Valencia,2,2
Cadiz,Celta Vigo,0,0
Levante,Villarreal,1,5
Getafe,Real Madrid,0,0
Barcelona,Real Valladolid,1,0
Real Sociedad,Athletic Bilbao,1,1
SD Huesca,Elche,3,1
Getafe,Cadiz,0,1
Athletic Bilbao,Deportivo Alaves,0,0
Eibar,Levante,0,1
Real Madrid,Barcelona,2,1
Villarreal,Osasuna,1,2
Valencia,Real Sociedad,2,2
Real Valladolid,Granada,1,2
Real Betis,Atletico Madrid,1,1
Levante,SD Huesca,0,2
Granada,Villarreal,0,3
Real Madrid,Eibar,2,0
Osasuna,Getafe,0,0
Deportivo Alaves,Celta Vigo,1,3
Elche,Real Betis,1,1
Cadiz,Valencia,2,1
Sevilla,Atletico Madrid,1,0
Barcelona,SD Huesca,4,1
Sevilla,Elche,2,0
Real Betis,Levante,2,0
Athletic Bilbao,Eibar,1,1
Celta Vigo,Real Madrid,1,3
SD Huesca,Osasuna,0,0
Real Valladolid,Sevilla,1,1
Getafe,Elche,1,1
Villarreal,Cadiz,2,1
Valencia,Granada,2,1
Atletico Madrid,Deportivo Alaves,1,0
Real Sociedad,Barcelona,1,6
Real Betis,Deportivo Alaves,3,2
Atletico Madrid,Athletic Bilbao,2,1
Levante,Valencia,1,0
Deportivo Alaves,Cadiz,1,1
Real Madrid,Elche,2,1
Osasuna,Real Valladolid,0,0
Getafe,Atletico Madrid,0,0
Celta Vigo,Athletic Bilbao,0,0
Granada,Real Sociedad,1,0
Eibar,Villarreal,1,3
Sevilla,Real Betis,1,0
Real Madrid,Real Sociedad,1,1
Valencia,Villarreal,2,1
Real Valladolid,Getafe,2,1
Elche,Sevilla,2,1
Cadiz,Eibar,1,0
Osasuna,Barcelona,0,2
SD Huesca,Celta Vigo,3,4
Atletico Madrid,Real Madrid,1,1
Real Sociedad,Levante,1,0
Athletic Bilbao,Granada,2,1
Osasuna,Sevilla,0,2
Barcelona,Elche,3,0
Levante,Athletic Bilbao,1,1
Eibar,SD Huesca,1,1
Sevilla,Barcelona,0,2
Deportivo Alaves,Osasuna,0,1
Getafe,Valencia,3,0
Celta Vigo,Real Valladolid,1,1
Cadiz,Real Betis,0,1
Granada,Elche,2,1
Villarreal,Atletico Madrid,0,2
Cadiz,Athletic Bilbao,0,4
Levante,Atletico Madrid,1,1
Real Betis,Getafe,1,0
Elche,Eibar,1,0
