home,away,home_score,away_score
Juventus,Verona,2,1
Genoa,Torino,1,2
SPAL 2013,Sampdoria,3,1
Cagliari,Atalanta,1,0
Chievo,Benevento,1,0
Udinese,Bologna,1,0
Napoli,Crotone,2,1
AC Milan,Fiorentina,5,1
Lazio,Inter,2,3
Sassuolo,Roma,0,1
Juventus,Verona,2,1
Genoa,Torino,1,2
SPAL 2013,Sampdoria,3,1
Cagliari,Atalanta,1,0
Chievo,Benevento,1,0
Udinese,Bologna,1,0
Napoli,Crotone,2,1
AC Milan,Fiorentina,5,1
Lazio,Inter,2,3
Sassuolo,Roma,0,1
Benevento,Genoa,1,0
Inter,Sassuolo,1,2
Torino,SPAL 2013,2,1
Verona,Udinese,0,1
Crotone,Lazio,2,2
Fiorentina,Cagliari,0,1
Bologna,Chievo,1,2
Atalanta,AC Milan,1,1
Sampdoria,Napoli,0,2
Roma,Juventus,0,0
Benevento,Genoa,1,0
Inter,Sassuolo,1,2
Torino,SPAL 2013,2,1
Verona,Udinese,0,1
Crotone,Lazio,2,2
Fiorentina,Cagliari,0,1
Bologna,Chievo,1,2
Atalanta,AC Milan,1,1
Sampdoria,Napoli,0,2
Roma,Juventus,0,0
AC Milan,Verona,4,1
Juventus,Bologna,3,1
Udinese,Inter,0,4
Chievo,Crotone,2,1
Genoa,Fiorentina,2,3
Napoli,Torino,2,2
Lazio,Atalanta,1,1
SPAL 2013,Benevento,2,0
Sassuolo,Sampdoria,1,0
Cagliari,Roma,0,1
Genoa,Verona,3,1
Roma,Chievo,4,1
Inter,Juventus,2,3
Crotone,Sassuolo,4,1
Verona,SPAL 2013,1,3
Benevento,Udinese,3,3
Bologna,AC Milan,1,2
Atalanta,Genoa,3,1
Sampdoria,Cagliari,4,1
Fiorentina,Napoli,3,0
Torino,Lazio,0,1
Inter,Cagliari,4,0
Benevento,Atalanta,0,3
Sampdoria,Bologna,1,0
SPAL 2013,Chievo,0,0
Roma,Genoa,2,1
Crotone,Juventus,1,1
Fiorentina,Lazio,3,4
Torino,AC Milan,1,1
Verona,Sassuolo,0,1
Napoli,Udinese,4,2
SPAL 2013,Roma,0,3
Sassuolo,Fiorentina,1,0
AC Milan,Benevento,0,1
Cagliari,Bologna,0,0
Udinese,Crotone,1,2
Chievo,Inter,1,2
Lazio,Sampdoria,4,0
Atalanta,Torino,2,1
Juventus,Napoli,0,1
Cagliari,Udinese,2,1
Chievo,Torino,0,0
Genoa,Crotone,1,0
Atalanta,Inter,0,0
Fiorentina,SPAL 2013,0,0
AC Milan,Napoli,0,0
Bologna,Verona,2,0
Sassuolo,Benevento,2,2
Juventus,Sampdoria,3,0
Lazio,Roma,0,0
Genoa,Cagliari,2,1
Udinese,Fiorentina,0,2
Atalanta,Sampdoria,1,2
Benevento,Verona,3,0
AC Milan,Inter,0,0
Torino,Crotone,4,1
Chievo,Sassuolo,1,1
Benevento,Juventus,2,4
Roma,Fiorentina,0,2
SPAL 2013,Atalanta,1,1
Sampdoria,Genoa,0,0
Torino,Inter,1,0
Crotone,Bologna,1,0
Verona,Cagliari,1,0
Napoli,Chievo,2,1
Udinese,Lazio,1,2
AC Milan,Sassuolo,1,1
Bologna,Roma,1,1
Genoa,SPAL 2013,1,1
Cagliari,Torino,0,4
Atalanta,Udinese,2,0
Lazio,Benevento,6,2
Fiorentina,Crotone,2,0
Inter,Verona,3,0
Chievo,Sampdoria,2,1
Sassuolo,Napoli,1,1
Juventus,AC Milan,3,1
Juventus,Atalanta,2,0
Udinese,Sassuolo,1,2
SPAL 2013,Juventus,0,0
Sampdoria,Inter,0,5
Crotone,Roma,0,2
Benevento,Cagliari,1,2
AC Milan,Chievo,3,2
Torino,Fiorentina,1,2
Verona,Atalanta,0,5
Lazio,Bologna,1,1
Napoli,Genoa,1,0
Roma,Torino,3,0
Verona,Chievo,1,0
Fiorentina,Benevento,1,0
Bologna,Atalanta,0,1
Crotone,Sampdoria,4,1
Sassuolo,SPAL 2013,1,1
Cagliari,Lazio,2,2
Juventus,Udinese,2,0
Genoa,AC Milan,0,1
Inter,Napoli,0,0
Cagliari,Napoli,0,5
SPAL 2013,Bologna,1,0
Lazio,Juventus,0,1
Napoli,Roma,2,4
Lazio,Verona,2,0
Bologna,Genoa,2,0
Inter,Benevento,2,0
Crotone,SPAL 2013,2,3
Verona,Torino,2,1
Sampdoria,Udinese,2,1
Fiorentina,Chievo,1,0
Sassuolo,Lazio,0,3
Roma,AC Milan,0,2
Udinese,Roma,0,2
Chievo,Cagliari,2,1
Genoa,Inter,2,0
Torino,Juventus,0,1
Bologna,Sassuolo,2,1
Napoli,SPAL 2013,1,0
Benevento,Crotone,3,2
Atalanta,Fiorentina,1,1
AC Milan,Sampdoria,1,0
Lazio,Genoa,1,2
Fiorentina,Juventus,0,2
SPAL 2013,AC Milan,0,4
Crotone,Atalanta,1,1
Napoli,Lazio,4,1
Sassuolo,Cagliari,0,0
Chievo,Genoa,0,1
Sampdoria,Verona,2,0
Torino,Udinese,2,0
Inter,Bologna,2,1
Roma,Benevento,5,2
Sampdoria,Torino,1,1
Inter,Crotone,1,1
Verona,Roma,0,1
Juventus,Sassuolo,7,0
Cagliari,SPAL 2013,2,0
Atalanta,Chievo,1,0
