home,away,home_score,away_score
Pescara,Palermo,2,0
Atalanta,Chievo,1,0
Bologna,Juventus,1,2
Cagliari,AC Milan,2,1
Sampdoria,Napoli,2,4
Roma,Genoa,3,2
Crotone,Lazio,3,1
Fiorentina,Pescara,2,2
Torino,Sassuolo,5,3
Inter,Udinese,5,2
Palermo,Empoli,2,1
Pescara,Palermo,2,0
Atalanta,Chievo,1,0
Bologna,Juventus,1,2
Cagliari,AC Milan,2,1
Sampdoria,Napoli,2,4
Roma,Genoa,3,2
Crotone,Lazio,3,1
Fiorentina,Pescara,2,2
Torino,Sassuolo,5,3
Inter,Udinese,5,2
Palermo,Empoli,2,1
Chievo,Roma,3,5
Napoli,Fiorentina,4,1
Udinese,Sampdoria,1,1
Genoa,Torino,2,1
Empoli,Atalanta,0,1
AC Milan,Bologna,3,0
Sassuolo,Cagliari,6,2
Juventus,Crotone,3,0
Lazio,Inter,1,3
Fiorentina,Lazio,3,2
Atalanta,AC Milan,1,1
Inter,Sassuolo,1,2
Crotone,Udinese,1,0
Torino,Napoli,0,5
Bologna,Pescara,3,1
Sampdoria,Chievo,1,1
Cagliari,Empoli,3,2
Palermo,Genoa,1,0
Roma,Juventus,3,1
Napoli,Cagliari,3,1
Juventus,Torino,1,1
Udinese,Atalanta,1,1
Empoli,Bologna,3,1
Lazio,Sampdoria,7,3
Pescara,Crotone,0,1
Sassuolo,Fiorentina,2,2
Genoa,Inter,1,0
Chievo,Palermo,1,1
AC Milan,Roma,1,4
Pescara,Roma,1,4
Atalanta,Juventus,2,2
Torino,Sampdoria,1,1
Roma,Lazio,1,3
Crotone,AC Milan,1,1
Empoli,Sassuolo,1,3
Bologna,Udinese,4,0
Cagliari,Pescara,1,0
Genoa,Chievo,1,2
Palermo,Fiorentina,2,0
Inter,Napoli,0,1
Atalanta,Bologna,3,2
Fiorentina,Inter,5,4
Sassuolo,Napoli,2,2
Lazio,Palermo,6,2
Chievo,Torino,1,3
Udinese,Cagliari,2,1
Sampdoria,Crotone,1,2
AC Milan,Empoli,1,2
Juventus,Genoa,4,0
Inter,AC Milan,2,2
Roma,Atalanta,1,1
Palermo,Bologna,0,0
Cagliari,Chievo,4,0
Torino,Crotone,1,1
Fiorentina,Empoli,1,2
Pescara,Juventus,0,2
Genoa,Lazio,2,2
Sassuolo,Sampdoria,2,1
Napoli,Udinese,3,0
Inter,Sampdoria,1,2
Empoli,Pescara,1,1
Atalanta,Sassuolo,1,1
Juventus,Chievo,2,0
Sampdoria,Fiorentina,2,2
Udinese,Genoa,3,0
Crotone,Inter,2,1
Cagliari,Torino,2,3
Bologna,Roma,0,3
AC Milan,Palermo,4,0
Lazio,Napoli,0,3
Sassuolo,Lazio,1,2
Roma,Empoli,2,0
Torino,Udinese,2,2
Pescara,AC Milan,1,1
Genoa,Atalanta,0,5
Fiorentina,Bologna,1,0
Palermo,Cagliari,1,3
Chievo,Crotone,1,2
Napoli,Juventus,1,1
Lazio,Torino,3,1
Torino,Inter,2,2
AC Milan,Genoa,1,0
Empoli,Napoli,2,3
Atalanta,Pescara,3,0
Sampdoria,Juventus,0,1
Cagliari,Lazio,0,0
Bologna,Chievo,4,1
Crotone,Fiorentina,0,1
Udinese,Palermo,4,1
Roma,Sassuolo,3,1
Juventus,AC Milan,2,1
Genoa,Sampdoria,0,1
Sassuolo,Bologna,0,1
Fiorentina,Cagliari,1,0
Napoli,Crotone,3,0
Chievo,Empoli,4,0
Pescara,Udinese,1,3
Inter,Atalanta,7,1
Palermo,Roma,0,3
Fiorentina,Torino,2,2
Roma,Napoli,1,2
Sampdoria,Pescara,3,1
AC Milan,Chievo,3,1
Atalanta,Fiorentina,0,0
Empoli,Genoa,0,2
Cagliari,Inter,1,5
Udinese,Juventus,1,1
Crotone,Sassuolo,0,0
Torino,Palermo,3,1
Bologna,Lazio,0,2
Napoli,Atalanta,0,2
Juventus,Empoli,2,0
Palermo,Sampdoria,1,1
Lazio,Udinese,1,0
Sassuolo,AC Milan,0,1
Chievo,Pescara,2,0
Genoa,Bologna,1,1
Crotone,Cagliari,1,2
Inter,Roma,1,3
Lazio,AC Milan,1,1
Juventus,Palermo,4,1
Atalanta,Crotone,1,0
Empoli,Lazio,1,2
Bologna,Inter,0,1
Pescara,Genoa,5,0
Sampdoria,Cagliari,1,1
Udinese,Sassuolo,1,2
Chievo,Napoli,1,3
Roma,Torino,4,1
AC Milan,Fiorentina,2,1
Roma,Fiorentina,4,0
Crotone,Juventus,0,2
Bologna,AC Milan,0,1
Napoli,Genoa,2,0
Fiorentina,Udinese,3,0
Crotone,Roma,0,2
Torino,Pescara,5,3
Sassuolo,Chievo,1,3
Inter,Empoli,2,0
Palermo,Atalanta,1,3
Sampdoria,Bologna,3,1
Cagliari,Juventus,0,2
Pescara,Fiorentina,1,2
Bologna,Napoli,1,7
AC Milan,Sampdoria,0,1
Genoa,Sassuolo,0,1
Empoli,Torino,1,1
Chievo,Udinese,0,0
Pescara,Lazio,2,6
Atalanta,Cagliari,2,0
Palermo,Crotone,1,0
Juventus,Inter,1,0
Lazio,Chievo,0,1
Inter,Pescara,3,0
Torino,Atalanta,1,1
Cagliari,Bologna,1,1
Crotone,Empoli,4,1
Fiorentina,Genoa,3,3
Sassuolo,Juventus,0,2
Udinese,AC Milan,2,1
Sampdoria,Roma,3,2
Napoli,Palermo,1,1
Torino,AC Milan,2,2
Chievo,Fiorentina,0,3
AC Milan,Napoli,1,2
Juventus,Lazio,2,0
Genoa,Crotone,2,2
Palermo,Inter,0,1
Pescara,Sassuolo,1,3
Bologna,Torino,2,0
Empoli,Udinese,1,0
Atalanta,Sampdoria,1,0
Roma,Cagliari,1,0
Crotone,Bologna,0,1
Inter,Chievo,3,1
Cagliari,Genoa,4,1
Sampdoria,Empoli,0,0
Sassuolo,Palermo,4,1
Napoli,Pescara,3,1
Udinese,Roma,0,1
Lazio,Atalanta,2,1
Fiorentina,Juventus,2,1
Empoli,Palermo,1,0
Napoli,Sampdoria,2,1
Udinese,Inter,1,2
Chievo,Atalanta,1,4
Sassuolo,Torino,0,0
Genoa,Roma,0,1
Lazio,Crotone,1,0
AC Milan,Cagliari,1,0
Juventus,Bologna,3,0
Atalanta,Empoli,2,1
Inter,Lazio,3,0
Palermo,Pescara,1,1
Roma,Chievo,3,1
Sampdoria,Udinese,0,0
Torino,Genoa,1,0
Cagliari,Sassuolo,4,3
Fiorentina,Napoli,3,3
Fiorentina,Sassuolo,2,1
Roma,AC Milan,1,0
Genoa,Fiorentina,1,0
Empoli,Cagliari,2,0
AC Milan,Atalanta,0,0
Juventus,Roma,1,0
Sassuolo,Inter,0,1
Udinese,Crotone,2,0
Napoli,Torino,5,3
Pescara,Bologna,0,3
Chievo,Sampdoria,2,1
Lazio,Fiorentina,3,1
Genoa,Palermo,3,4
Chievo,Genoa,0,0
Udinese,Bologna,1,0
Crotone,Pescara,2,1
Sampdoria,Lazio,1,2
Cagliari,Napoli,0,5
Palermo,Chievo,0,2
Torino,Juventus,1,3
Atalanta,Udinese,1,3
Bologna,Empoli,0,0
Inter,Genoa,2,0
Napoli,Sassuolo,1,1
Inter,Fiorentina,4,2
Napoli,Inter,3,0
Juventus,Atalanta,3,1
AC Milan,Crotone,2,1
Pescara,Cagliari,1,1
Sampdoria,Torino,2,0
Sassuolo,Empoli,3,0
Lazio,Roma,0,2
Fiorentina,Palermo,2,1
Torino,Chievo,2,1
Empoli,AC Milan,1,4
Palermo,Lazio,0,1
Genoa,Juventus,3,1
Cagliari,Udinese,2,1
Crotone,Sampdoria,1,1
Bologna,Atalanta,0,2
Roma,Pescara,3,2
Chievo,Cagliari,1,0
Udinese,Napoli,1,2
Juventus,Pescara,3,0
Sampdoria,Sassuolo,3,2
Lazio,Genoa,3,1
Crotone,Torino,0,2
Empoli,Fiorentina,0,4
Atalanta,Roma,2,1
Bologna,Palermo,3,1
AC Milan,Inter,2,2
Udinese,Torino,2,2
Cagliari,Palermo,2,1
Torino,Cagliari,5,1
Napoli,Lazio,1,1
Pescara,Empoli,0,4
Sassuolo,Atalanta,0,3
Palermo,AC Milan,1,2
Genoa,Udinese,1,1
Chievo,Juventus,1,2
Fiorentina,Sampdoria,1,1
Inter,Crotone,3,0
Roma,Bologna,3,0
Genoa,AC Milan,3,0
Inter,Torino,2,1
Juventus,Sampdoria,4,1
Lazio,Cagliari,4,1
Napoli,Empoli,2,0
Pescara,Atalanta,0,1
Sassuolo,Roma,1,3
Chievo,Bologna,1,1
Fiorentina,Crotone,1,1
Palermo,Udinese,1,3
Bologna,Fiorentina,0,1
Juventus,Napoli,2,1
Atalanta,Genoa,3,0
Crotone,Chievo,2,0
Empoli,Roma,0,0
Lazio,Sassuolo,2,1
AC Milan,Pescara,1,0
Sampdoria,Inter,1,0
Palermo,Torino,1,4
Sampdoria,Genoa,2,1
AC Milan,Juventus,1,0
Udinese,Pescara,3,1
Torino,Lazio,2,2
Atalanta,Inter,2,1
Cagliari,Fiorentina,3,5
Crotone,Napoli,1,2
Empoli,Chievo,0,0
Bologna,Sassuolo,1,1
Roma,Palermo,4,1
Napoli,Roma,1,3
Pescara,Sampdoria,1,1
Juventus,Udinese,2,1
Fiorentina,Atalanta,0,0
Genoa,Empoli,0,0
Inter,Cagliari,1,2
Lazio,Bologna,1,1
Sassuolo,Crotone,2,1
Chievo,AC Milan,1,3
Crotone,Atalanta,1,3
Cagliari,Sampdoria,2,1
Pescara,Chievo,0,2
Udinese,Lazio,0,3
Empoli,Juventus,0,3
Atalanta,Napoli,1,0
Bologna,Genoa,0,1
Cagliari,Crotone,2,1
Sampdoria,Palermo,1,1
Torino,Fiorentina,2,1
AC Milan,Sassuolo,4,3
Roma,Inter,2,1
AC Milan,Lazio,2,0
Bologna,Sampdoria,2,0
Chievo,Sassuolo,2,1
Empoli,Inter,0,2
Genoa,Napoli,0,0
Juventus,Cagliari,4,0
Atalanta,Palermo,0,1
Pescara,Torino,0,0
Roma,Crotone,4,0
Udinese,Fiorentina,2,2
Palermo,Juventus,0,1
Napoli,Chievo,2,0
Torino,Roma,3,1
Sassuolo,Udinese,1,0
Genoa,Pescara,1,1
Inter,Bologna,1,1
Lazio,Empoli,2,0
Fiorentina,AC Milan,0,0
Empoli,Crotone,2,1
Sampdoria,AC Milan,0,1
Lazio,Pescara,3,0
Napoli,Bologna,3,1
Udinese,Chievo,1,2
Sassuolo,Genoa,2,0
Torino,Empoli,0,0
Cagliari,Atalanta,3,0
Crotone,Palermo,1,1
Inter,Juventus,2,1
Fiorentina,Roma,1,0
Juventus,Sassuolo,3,1
Palermo,Napoli,0,3
Bologna,Cagliari,2,1
Chievo,Lazio,1,1
AC Milan,Udinese,0,1
Atalanta,Torino,2,1
Roma,Sampdoria,3,2
Pescara,Inter,1,2
Lazio,Juventus,0,1
Napoli,AC Milan,4,2
Inter,Palermo,1,1
Sampdoria,Atalanta,2,1
Sassuolo,Pescara,2,1
Torino,Bologna,5,1
Udinese,Empoli,2,0
Cagliari,Roma,2,2
Crotone,Genoa,1,3
Fiorentina,Chievo,1,0
