home,away,home_score,away_score
Lazio,Bologna,3,3
Frosinone,Chievo,0,0
Bologna,Napoli,3,2
Torino,Lazio,3,1
Sampdoria,Juventus,2,0
SPAL 2013,AC Milan,2,3
Inter,Empoli,2,1
Roma,Parma Calcio 1913,2,1
Cagliari,Udinese,1,2
Fiorentina,Genoa,0,0
Atalanta,Sassuolo,3,1
Lazio,Bologna,3,3
Frosinone,Chievo,0,0
Bologna,Napoli,3,2
Torino,Lazio,3,1
Sampdoria,Juventus,2,0
SPAL 2013,AC Milan,2,3
Inter,Empoli,2,1
Roma,Parma Calcio 1913,2,1
Cagliari,Udinese,1,2
Fiorentina,Genoa,0,0
Atalanta,Sassuolo,3,1
Bologna,Parma Calcio 1913,4,1
Inter,Chievo,2,0
Udinese,SPAL 2013,3,2
Genoa,Cagliari,1,1
Sassuolo,Roma,0,0
Chievo,Sampdoria,0,0
Empoli,Torino,4,1
Parma Calcio 1913,Fiorentina,1,0
AC Milan,Frosinone,2,0
Napoli,Inter,4,1
Juventus,Atalanta,1,1
AC Milan,Bologna,2,1
Atalanta,Genoa,2,1
Cagliari,Lazio,1,2
Fiorentina,AC Milan,0,1
Torino,Sassuolo,3,2
Frosinone,Udinese,1,3
Sampdoria,Empoli,1,2
SPAL 2013,Napoli,1,2
Roma,Juventus,2,0
Atalanta,Udinese,2,0
Fiorentina,Sassuolo,0,1
Juventus,Torino,1,1
Chievo,SPAL 2013,0,4
Udinese,Inter,0,0
Empoli,Fiorentina,1,0
Sassuolo,Frosinone,2,2
Lazio,Atalanta,1,3
Parma Calcio 1913,Sampdoria,3,3
Genoa,Roma,1,1
Napoli,Cagliari,2,1
Napoli,Atalanta,1,2
Bologna,Empoli,3,1
Roma,Cagliari,3,0
Inter,Juventus,1,1
Frosinone,Napoli,0,2
Chievo,Parma Calcio 1913,1,1
SPAL 2013,Genoa,1,1
Sampdoria,Lazio,1,2
Torino,AC Milan,2,0
Atalanta,Empoli,0,0
Lazio,Udinese,2,0
Parma Calcio 1913,AC Milan,1,1
Udinese,Sassuolo,1,1
Lazio,Chievo,1,2
Bologna,Sampdoria,3,0
