name,team,min,goal,assist,shot,pass,aer,mom,rating
Paulo Dybala,Juventus,2358,22,5,3.5,0.873,0.2,8,7.77
Luis Alberto,Lazio,2677,11,14,2.4,0.799,0.4,5,7.69
Papu Gómez,Atalanta,2758,6,10,3.0,0.8190000000000001,0.0,6,7.65
Aleksandar Kolarov,Roma,3061,2,8,1.8,0.812,1.5,6,7.52
Lorenzo Insigne,Napoli,3104,8,11,4.8,0.852,0.1,7,7.51
Alex Sandro,Juventus,2115,4,4,0.7,0.8640000000000001,1.8,3,7.47
Douglas Costa,Juventus,1793,4,12,1.2,0.84,0.2,4,7.45
Felipe Anderson,Lazio,1152,4,7,1.2,0.7659999999999999,0.1,3,7.45
Miralem Pjanic,Juventus,2489,5,8,1.7,0.902,0.4,4,7.42
Edin Dzeko,Roma,3019,16,4,4.2,0.708,3.0,5,7.4
Paulo Dybala,Juventus,2358,22,5,3.5,0.873,0.2,8,7.77
Luis Alberto,Lazio,2677,11,14,2.4,0.799,0.4,5,7.69
Faouzi Ghoulam,Napoli,987,2,3,0.9,0.8909999999999999,2.0,1,7.65
Papu Gómez,Atalanta,2758,6,10,3.0,0.8190000000000001,0.0,6,7.65
Lukasz Skorupski,Roma,90,0,0,0.0,0.731,0.0,0,7.63
Aleksandar Kolarov,Roma,3061,2,8,1.8,0.812,1.5,6,7.52
Lorenzo Insigne,Napoli,3104,8,11,4.8,0.852,0.1,7,7.51
Alex Sandro,Juventus,2115,4,4,0.7,0.8640000000000001,1.8,3,7.47
Douglas Costa,Juventus,1793,4,12,1.2,0.84,0.2,4,7.45
Felipe Anderson,Lazio,1152,4,7,1.2,0.7659999999999999,0.1,3,7.45
Marco Silvestri,Verona,180,0,0,0.0,0.682,0.0,0,7.44
Miralem Pjanic,Juventus,2489,5,8,1.7,0.902,0.4,4,7.42
Edin Dzeko,Roma,3019,16,4,4.2,0.708,3.0,5,7.4
Josip Ilicic,Atalanta,2004,11,8,2.9,0.816,0.3,6,7.39
Sergej Milinkovic Savic,Lazio,2850,12,3,2.6,0.799,2.9,7,7.39
Ciro Immobile,Lazio,2697,29,9,3.3,0.7909999999999999,0.5,7,7.39
Ivan Perisic,Inter,3316,11,9,3.1,0.754,1.8,5,7.35
Juan Cuadrado,Juventus,1359,4,6,1.3,0.89,0.4,2,7.28
Mauro Icardi,Inter,2971,29,1,3.0,0.74,1.1,6,7.28
Lucas Leiva,Lazio,2894,2,3,0.8,0.8690000000000001,1.6,2,7.26
Christian Puggioni,Sampdoria,810,0,0,0.0,0.669,0.3,2,7.26
Federico Fazio,Roma,2920,2,0,0.5,0.8440000000000001,4.4,5,7.26
Gonzalo Higuaín,Juventus,2818,16,6,2.9,0.804,0.3,5,7.25
Medhi Benatia,Juventus,1755,2,0,0.7,0.905,2.4,1,7.25
Mattia De Sciglio,Juventus,967,1,0,0.4,0.899,1.1,1,7.24
Simone Verdi,Bologna,2836,10,10,2.7,0.78,0.1,4,7.23
Lorenzo Tonelli,Napoli,350,1,0,0.8,0.94,3.5,0,7.23
Suso,AC Milan,2847,6,7,2.7,0.813,0.1,7,7.22
Antonio Santurro,Bologna,90,0,0,0.0,0.47600000000000003,1.0,0,7.22
José Callejón,Napoli,3247,10,10,1.7,0.843,0.6,2,7.22
Adem Ljajic,Torino,2155,6,10,2.3,0.821,0.0,4,7.21
Dries Mertens,Napoli,3013,18,6,3.4,0.755,0.1,7,7.21
Milan Skriniar,Inter,3420,4,0,0.6,0.912,1.9,3,7.2
Rafinha,Inter,1048,2,3,0.9,0.895,0.5,3,7.2
Marcelo Brozovic,Inter,1924,4,9,1.5,0.879,0.7,3,7.2
Benedikt Höwedes,Juventus,248,1,0,0.7,0.9279999999999999,0.7,0,7.19
Allan,Napoli,2857,4,5,1.0,0.877,0.3,3,7.17
Lucas Torreira,Sampdoria,3185,4,1,0.9,0.872,0.6,3,7.17
Giorgio Chiellini,Juventus,2163,0,2,0.4,0.8740000000000001,2.0,2,7.17
Radja Nainggolan,Roma,2620,4,9,2.0,0.8420000000000001,0.6,1,7.16
Thiago Cionek,SPAL 2013,1350,1,0,0.5,0.789,2.1,1,7.16
Raúl Albiol,Napoli,2742,3,1,0.5,0.895,3.1,3,7.15
