home,away,home_score,away_score
Borussia Dortmund,Werder Bremen,4,3
Borussia M.Gladbach,Darmstadt,2,2
Hertha Berlin,Bayer Leverkusen,2,6
FC Koln,Mainz 05,2,0
Hamburger SV,Wolfsburg,2,1
Ingolstadt,Schalke 04,1,1
Hoffenheim,Augsburg,0,0
Eintracht Frankfurt,RB Leipzig,2,2
Bayern Munich,Freiburg,4,1
Borussia Dortmund,Werder Bremen,4,3
Borussia M.Gladbach,Darmstadt,2,2
Hertha Berlin,Bayer Leverkusen,2,6
FC Koln,Mainz 05,2,0
Hamburger SV,Wolfsburg,2,1
Ingolstadt,Schalke 04,1,1
Hoffenheim,Augsburg,0,0
Eintracht Frankfurt,RB Leipzig,2,2
Bayern Munich,Freiburg,4,1
Bayer Leverkusen,FC Koln,2,2
Schalke 04,Hamburger SV,1,1
Mainz 05,Eintracht Frankfurt,4,2
Wolfsburg,Borussia M.Gladbach,1,1
Augsburg,Borussia Dortmund,1,1
Werder Bremen,Hoffenheim,3,5
Darmstadt,Hertha Berlin,0,2
Freiburg,Ingolstadt,1,1
RB Leipzig,Bayern Munich,4,5
FC Koln,Werder Bremen,4,3
Eintracht Frankfurt,Wolfsburg,0,2
Bayern Munich,Darmstadt,1,0
Borussia Dortmund,Hoffenheim,2,1
Borussia M.Gladbach,Augsburg,1,1
Ingolstadt,Bayer Leverkusen,1,1
Hertha Berlin,RB Leipzig,1,4
Hamburger SV,Mainz 05,0,0
Freiburg,Schalke 04,2,0
Bayer Leverkusen,Schalke 04,1,4
Mainz 05,Borussia M.Gladbach,1,2
Borussia Dortmund,FC Koln,0,0
Werder Bremen,Hertha Berlin,2,0
Darmstadt,Freiburg,3,0
RB Leipzig,Ingolstadt,0,0
Wolfsburg,Bayern Munich,0,6
Augsburg,Hamburger SV,4,0
Hoffenheim,Eintracht Frankfurt,1,0
FC Koln,Hoffenheim,1,1
Hamburger SV,Darmstadt,1,2
Ingolstadt,Werder Bremen,2,4
Eintracht Frankfurt,Augsburg,3,1
Bayern Munich,Mainz 05,2,2
Hertha Berlin,Wolfsburg,1,0
Borussia M.Gladbach,Borussia Dortmund,2,3
Freiburg,Bayer Leverkusen,2,1
Schalke 04,RB Leipzig,1,1
Borussia Dortmund,Eintracht Frankfurt,3,1
Mainz 05,Hertha Berlin,1,0
Wolfsburg,Ingolstadt,3,0
Augsburg,FC Koln,2,1
Hoffenheim,Borussia M.Gladbach,5,3
RB Leipzig,Freiburg,4,0
Bayer Leverkusen,Bayern Munich,0,0
Werder Bremen,Hamburger SV,2,1
Darmstadt,Schalke 04,2,1
Borussia Dortmund,Hamburger SV,3,0
FC Koln,Eintracht Frankfurt,1,0
Werder Bremen,Schalke 04,3,0
Hoffenheim,Bayern Munich,1,0
Darmstadt,Bayer Leverkusen,0,2
Augsburg,Ingolstadt,2,3
Borussia M.Gladbach,Hertha Berlin,1,0
Mainz 05,RB Leipzig,2,3
Wolfsburg,Freiburg,0,1
Eintracht Frankfurt,Werder Bremen,2,2
Freiburg,Mainz 05,1,0
