home,away,home_score,away_score
Borussia Dortmund,Hoffenheim,0,4
Bayer Leverkusen,Mainz 05,1,0
Borussia M.Gladbach,Hertha Berlin,2,1
Wolfsburg,Bayern Munich,0,4
Eintracht Frankfurt,Paderborn,3,2
Werder Bremen,FC Koln,6,1
Freiburg,Schalke 04,4,0
Augsburg,RB Leipzig,1,2
Union Berlin,Fortuna Duesseldorf,3,0
Borussia Dortmund,Hoffenheim,0,4
Bayer Leverkusen,Mainz 05,1,0
Borussia M.Gladbach,Hertha Berlin,2,1
Wolfsburg,Bayern Munich,0,4
Eintracht Frankfurt,Paderborn,3,2
Werder Bremen,FC Koln,6,1
Freiburg,Schalke 04,4,0
Augsburg,RB Leipzig,1,2
Union Berlin,Fortuna Duesseldorf,3,0
Borussia M.Gladbach,Wolfsburg,3,0
Werder Bremen,Bayern Munich,0,1
Freiburg,Hertha Berlin,2,1
Union Berlin,Paderborn,1,0
Eintracht Frankfurt,Schalke 04,2,1
Augsburg,Hoffenheim,1,3
Borussia Dortmund,Mainz 05,0,2
RB Leipzig,Fortuna Duesseldorf,2,2
Bayer Leverkusen,FC Koln,3,1
Bayern Munich,Freiburg,3,1
RB Leipzig,Borussia Dortmund,0,2
Hoffenheim,Union Berlin,4,0
Fortuna Duesseldorf,Augsburg,1,1
Hertha Berlin,Bayer Leverkusen,2,0
Mainz 05,Werder Bremen,3,1
Schalke 04,Wolfsburg,1,4
FC Koln,Eintracht Frankfurt,1,1
Paderborn,Borussia M.Gladbach,1,3
Hoffenheim,RB Leipzig,0,2
Fortuna Duesseldorf,Borussia Dortmund,0,1
Hertha Berlin,Eintracht Frankfurt,1,4
Wolfsburg,Freiburg,2,2
FC Koln,Union Berlin,1,2
Paderborn,Werder Bremen,1,5
Bayern Munich,Borussia M.Gladbach,2,1
Mainz 05,Augsburg,0,1
Schalke 04,Bayer Leverkusen,1,1
FC Koln,RB Leipzig,2,4
Werder Bremen,Eintracht Frankfurt,0,3
Freiburg,Borussia M.Gladbach,1,0
Fortuna Duesseldorf,Hoffenheim,2,2
RB Leipzig,Paderborn,1,1
Bayer Leverkusen,Bayern Munich,2,4
Eintracht Frankfurt,Mainz 05,0,2
Borussia Dortmund,Hertha Berlin,1,0
Werder Bremen,Wolfsburg,0,1
Union Berlin,Schalke 04,1,1
Augsburg,FC Koln,1,1
Borussia Dortmund,Bayern Munich,0,1
Eintracht Frankfurt,Freiburg,3,3
Werder Bremen,Borussia M.Gladbach,0,0
Bayer Leverkusen,Wolfsburg,1,4
RB Leipzig,Hertha Berlin,2,2
Hoffenheim,FC Koln,3,1
Fortuna Duesseldorf,Schalke 04,2,1
Augsburg,Paderborn,0,0
Union Berlin,Mainz 05,1,1
Freiburg,Bayer Leverkusen,0,1
Schalke 04,Werder Bremen,0,1
Wolfsburg,Eintracht Frankfurt,1,2
Hertha Berlin,Augsburg,2,0
Mainz 05,Hoffenheim,0,1
Bayern Munich,Fortuna Duesseldorf,5,0
Borussia M.Gladbach,Union Berlin,4,1
Paderborn,Borussia Dortmund,1,6
Werder Bremen,Bayer Leverkusen,1,4
Hertha Berlin,Union Berlin,4,0
Borussia M.Gladbach,Bayer Leverkusen,1,3
Wolfsburg,Borussia Dortmund,0,2
Paderborn,Hoffenheim,1,1
Freiburg,Werder Bremen,0,1
Bayern Munich,Eintracht Frankfurt,5,2
Schalke 04,Augsburg,0,3
Mainz 05,RB Leipzig,0,5
FC Koln,Fortuna Duesseldorf,2,2
Hoffenheim,Hertha Berlin,0,3
Fortuna Duesseldorf,Paderborn,0,0
Augsburg,Wolfsburg,1,2
Borussia Dortmund,Schalke 04,4,0
RB Leipzig,Freiburg,1,1
Eintracht Frankfurt,Borussia M.Gladbach,1,3
FC Koln,Mainz 05,2,2
Union Berlin,Bayern Munich,0,2
Borussia M.Gladbach,FC Koln,2,1
Paderborn,FC Koln,1,2
Bayer Leverkusen,Eintracht Frankfurt,4,0
Wolfsburg,RB Leipzig,0,0
Hertha Berlin,Werder Bremen,2,2
Freiburg,Union Berlin,3,1
Schalke 04,Hoffenheim,1,1
Borussia M.Gladbach,Borussia Dortmund,1,2
Bayern Munich,Augsburg,2,0
Mainz 05,Fortuna Duesseldorf,1,1
Eintracht Frankfurt,Union Berlin,1,2
Fortuna Duesseldorf,Hertha Berlin,3,3
Mainz 05,Paderborn,2,0
Augsburg,Borussia M.Gladbach,2,3
Borussia Dortmund,Freiburg,1,0
Hoffenheim,Bayern Munich,0,6
FC Koln,Schalke 04,3,0
Union Berlin,Wolfsburg,2,2
