home,away,home_score,away_score
Bayern Munich,Eintracht Frankfurt,5,1
Schalke 04,VfB Stuttgart,0,0
Borussia M.Gladbach,Borussia Dortmund,0,2
Hertha Berlin,Bayer Leverkusen,1,5
Werder Bremen,RB Leipzig,2,1
Freiburg,Nuernberg,5,1
Mainz 05,Hoffenheim,4,2
Wolfsburg,Augsburg,8,1
Fortuna Duesseldorf,Hannover 96,2,1
Bayern Munich,Eintracht Frankfurt,5,1
Schalke 04,VfB Stuttgart,0,0
Borussia M.Gladbach,Borussia Dortmund,0,2
Hertha Berlin,Bayer Leverkusen,1,5
Werder Bremen,RB Leipzig,2,1
Freiburg,Nuernberg,5,1
Mainz 05,Hoffenheim,4,2
Wolfsburg,Augsburg,8,1
Fortuna Duesseldorf,Hannover 96,2,1
Hoffenheim,Werder Bremen,0,1
Borussia Dortmund,Fortuna Duesseldorf,3,2
Augsburg,Hertha Berlin,3,4
Hannover 96,Freiburg,3,0
Nuernberg,Borussia M.Gladbach,0,4
Bayer Leverkusen,Schalke 04,1,1
RB Leipzig,Bayern Munich,0,0
VfB Stuttgart,Wolfsburg,3,0
Eintracht Frankfurt,Mainz 05,0,2
Mainz 05,RB Leipzig,3,3
Wolfsburg,Nuernberg,2,0
Bayern Munich,Hannover 96,3,1
Borussia M.Gladbach,Hoffenheim,2,2
Hertha Berlin,VfB Stuttgart,3,1
Werder Bremen,Borussia Dortmund,2,2
Schalke 04,Augsburg,0,0
Freiburg,Fortuna Duesseldorf,1,1
Bayer Leverkusen,Eintracht Frankfurt,6,1
Wolfsburg,Eintracht Frankfurt,1,1
Augsburg,Bayer Leverkusen,1,4
Hannover 96,Mainz 05,1,0
Fortuna Duesseldorf,Werder Bremen,4,1
Borussia Dortmund,Schalke 04,2,4
RB Leipzig,Freiburg,2,1
Eintracht Frankfurt,Hertha Berlin,0,0
VfB Stuttgart,Borussia M.Gladbach,1,0
Hoffenheim,Wolfsburg,1,4
Nuernberg,Bayern Munich,1,1
Mainz 05,Fortuna Duesseldorf,3,1
Augsburg,VfB Stuttgart,6,0
Bayern Munich,Werder Bremen,1,0
Bayer Leverkusen,Nuernberg,2,0
Borussia M.Gladbach,RB Leipzig,1,2
Schalke 04,Hoffenheim,2,5
Freiburg,Borussia Dortmund,0,4
Hertha Berlin,Hannover 96,0,0
Nuernberg,Schalke 04,1,1
Werder Bremen,Freiburg,2,1
Hannover 96,Borussia M.Gladbach,0,1
RB Leipzig,Wolfsburg,2,0
VfB Stuttgart,Bayer Leverkusen,0,1
Borussia Dortmund,Mainz 05,2,1
Hoffenheim,Hertha Berlin,2,0
Fortuna Duesseldorf,Bayern Munich,1,4
Eintracht Frankfurt,Augsburg,1,3
Mainz 05,Freiburg,5,0
Wolfsburg,Hannover 96,3,1
Hertha Berlin,Fortuna Duesseldorf,1,2
Schalke 04,Eintracht Frankfurt,1,2
Bayer Leverkusen,RB Leipzig,2,4
VfB Stuttgart,Nuernberg,1,1
Bayern Munich,Borussia Dortmund,5,0
Augsburg,Hoffenheim,0,4
Borussia M.Gladbach,Werder Bremen,1,1
Hoffenheim,Bayer Leverkusen,4,1
Borussia Dortmund,Wolfsburg,2,0
Werder Bremen,Mainz 05,3,1
Freiburg,Bayern Munich,1,1
Fortuna Duesseldorf,Borussia M.Gladbach,3,1
Nuernberg,Augsburg,3,0
RB Leipzig,Hertha Berlin,5,0
Hannover 96,Schalke 04,0,1
Eintracht Frankfurt,VfB Stuttgart,3,0
Fortuna Duesseldorf,Eintracht Frankfurt,0,3
Borussia M.Gladbach,Freiburg,1,1
VfB Stuttgart,Hoffenheim,1,1
Schalke 04,RB Leipzig,0,1
Augsburg,Hannover 96,3,1
Wolfsburg,Fortuna Duesseldorf,5,2
Hertha Berlin,Borussia Dortmund,2,3
Bayer Leverkusen,Werder Bremen,1,3
Eintracht Frankfurt,Nuernberg,1,0
Bayern Munich,Mainz 05,6,0
Werder Bremen,Schalke 04,4,2
Bayern Munich,Wolfsburg,6,0
Freiburg,Hertha Berlin,2,1
Borussia Dortmund,VfB Stuttgart,3,1
RB Leipzig,Augsburg,0,0
Mainz 05,Borussia M.Gladbach,0,1
Hoffenheim,Nuernberg,2,1
Hannover 96,Bayer Leverkusen,2,3
RB Leipzig,Hoffenheim,1,1
Augsburg,Borussia Dortmund,2,1
Hertha Berlin,Mainz 05,2,1
Nuernberg,RB Leipzig,0,1
Schalke 04,Fortuna Duesseldorf,0,4
Bayer Leverkusen,Freiburg,2,0
Eintracht Frankfurt,Hoffenheim,3,2
Borussia M.Gladbach,Bayern Munich,1,5
VfB Stuttgart,Hannover 96,5,1
Wolfsburg,Werder Bremen,1,1
Nuernberg,Borussia Dortmund,0,0
Werder Bremen,VfB Stuttgart,1,1
Borussia M.Gladbach,Wolfsburg,0,3
Bayern Munich,Hertha Berlin,1,0
Freiburg,Augsburg,5,1
Mainz 05,Schalke 04,3,0
Fortuna Duesseldorf,Nuernberg,2,1
Hannover 96,Eintracht Frankfurt,0,3
Borussia Dortmund,Bayer Leverkusen,3,2
Augsburg,Bayern Munich,2,3
Wolfsburg,Mainz 05,3,0
VfB Stuttgart,RB Leipzig,1,3
Schalke 04,Freiburg,0,0
Hoffenheim,Hannover 96,3,0
Hertha Berlin,Werder Bremen,1,1
Eintracht Frankfurt,Borussia M.Gladbach,1,1
Bayer Leverkusen,Fortuna Duesseldorf,2,0
Mainz 05,Bayer Leverkusen,1,5
Hannover 96,Nuernberg,2,0
Freiburg,Wolfsburg,3,3
Borussia Dortmund,Hoffenheim,3,3
RB Leipzig,Eintracht Frankfurt,0,0
Borussia M.Gladbach,Hertha Berlin,0,3
Bayern Munich,Schalke 04,3,1
Werder Bremen,Augsburg,4,0
