name,team,min,goal,assist,shot,pass,aer,mom,rating
Thiago Alcântara,Bayern,2291,6,5,1.3,0.902,1.7,6,8.28
Arjen Robben,Bayern,1830,13,9,3.2,0.812,0.3,5,7.82
Emil Forsberg,RBL,2349,8,19,1.6,0.762,0.6,9,7.75
Robert Lewandowski,Bayern,2777,30,5,4.3,0.752,1.9,6,7.74
Naby Keïta,RBL,2416,8,7,1.4,0.818,0.6,3,7.6
Max Kruse,Werder Bremen,2047,15,7,1.8,0.7609999999999999,1.9,3,7.54
Kerem Demirbay,Hoffenheim,2182,6,8,1.8,0.7879999999999999,0.4,6,7.49
Ousmane Dembélé,Borussia Dortmund,2042,6,12,1.7,0.67,0.2,5,7.44
Sebastian Rudy,Hoffenheim,2789,2,7,0.8,0.8079999999999999,1.3,3,7.43
Pierre Emerick Aubameyang,Borussia Dortmund,2782,31,2,3.6,0.6970000000000001,1.3,3,7.42
Thiago Alcântara,Bayern,2291,6,5,1.3,0.902,1.7,6,8.28
Arjen Robben,Bayern,1830,13,9,3.2,0.812,0.3,5,7.82
Emil Forsberg,RBL,2349,8,19,1.6,0.762,0.6,9,7.75
Robert Lewandowski,Bayern,2777,30,5,4.3,0.752,1.9,6,7.74
Naby Keïta,RBL,2416,8,7,1.4,0.818,0.6,3,7.6
Max Kruse,Werder Bremen,2047,15,7,1.8,0.7609999999999999,1.9,3,7.54
Hakan Çalhanoglu,Leverkusen,1217,6,5,3.1,0.7759999999999999,1.7,3,7.49
Kerem Demirbay,Hoffenheim,2182,6,8,1.8,0.7879999999999999,0.4,6,7.49
Andreas Luthe,Augsburg,180,0,0,0.0,0.41200000000000003,0.0,1,7.48
Ousmane Dembélé,Borussia Dortmund,2042,6,12,1.7,0.67,0.2,5,7.44
Kyriakos Papadopoulos,Hamburg,1291,2,0,1.0,0.648,4.6,3,7.43
Sebastian Rudy,Hoffenheim,2789,2,7,0.8,0.8079999999999999,1.3,3,7.43
Pierre Emerick Aubameyang,Borussia Dortmund,2782,31,2,3.6,0.6970000000000001,1.3,3,7.42
Benjamin Hübner,Hoffenheim,2149,2,3,0.7,0.877,2.6,2,7.39
Franck Ribéry,Bayern,1242,5,11,1.0,0.8390000000000001,0.4,1,7.38
Lukas Klünter,FC Koln,720,1,1,0.3,0.599,0.9,0,7.37
Sven Müller,FC Koln,90,0,0,0.0,0.40700000000000003,0.0,0,7.35
Tom Starke,Bayern,270,0,0,0.0,0.797,0.0,0,7.35
Frederik Sørensen,FC Koln,2680,0,2,0.6,0.72,2.6,3,7.34
Anthony Modeste,FC Koln,2978,25,2,3.0,0.635,4.4,7,7.34
Mats Hummels,Bayern,2181,1,1,1.1,0.888,3.4,2,7.32
Sead Kolasinac,Schalke,2070,3,5,0.7,0.7170000000000001,1.8,2,7.32
Thomas Müller,Bayern,2265,5,12,2.2,0.76,1.8,1,7.3
Johannes Geis,Schalke,1334,0,0,0.8,0.7859999999999999,2.3,1,7.29
Timo Werner,RBL,2435,21,5,2.4,0.675,0.9,4,7.29
Arturo Vidal,Bayern,1824,4,2,1.4,0.878,2.1,1,7.28
Willi Orbán,RBL,2518,3,1,0.8,0.815,4.5,0,7.28
Markus Suttner,Ingolstadt,2737,4,5,1.4,0.604,2.2,1,7.28
Javi Martínez,Bayern,2135,1,1,0.4,0.9159999999999999,2.4,0,7.27
Jonas Hector,FC Koln,2970,1,2,0.5,0.812,2.3,2,7.26
Naldo,Schalke,1624,1,0,1.5,0.851,3.6,3,7.25
Bernardo,RBL,1894,0,1,0.6,0.7440000000000001,3.3,0,7.24
Raffael,Borussia M.Gladbach,1504,7,0,2.3,0.764,0.5,1,7.24
Marcel Risse,FC Koln,1104,2,4,1.7,0.621,0.3,1,7.24
Marc Bartra,Borussia Dortmund,1561,0,3,1.1,0.823,2.7,0,7.24
Xabi Alonso,Bayern,1906,3,2,0.9,0.894,1.6,1,7.22
Leon Goretzka,Schalke,2569,5,3,1.7,0.78,1.6,1,7.21
Alexander Hack,Mainz,1295,0,1,0.5,0.769,4.3,0,7.21
Sokratis Papastathopoulos,Borussia Dortmund,2300,2,0,0.8,0.878,3.7,2,7.21
Konstantinos Stafylidis,Augsburg,2244,4,0,1.7,0.7140000000000001,1.4,6,7.21
Marcel Halstenberg,RBL,2659,0,1,0.9,0.722,3.2,1,7.2
Steven Zuber,Hoffenheim,2027,4,4,1.5,0.8140000000000001,0.3,0,7.2
Jannik Vestergaard,Borussia M.Gladbach,2657,4,1,1.0,0.8490000000000001,3.9,3,7.19
Marco Fabián,Eintracht Frankfurt,2058,7,4,2.7,0.7859999999999999,0.9,3,7.18
Raphaël Guerreiro,Borussia Dortmund,1483,6,3,1.4,0.8009999999999999,0.3,3,7.18
Mergim Mavraj,FC Koln,1440,0,0,0.4,0.8809999999999999,3.4,0,7.17
Douglas Costa,Bayern,1374,4,3,1.9,0.802,0.1,0,7.17
Benedikt Höwedes,Schalke,2790,1,1,0.6,0.863,2.2,1,7.16
Vincenzo Grifo,Freiburg,2495,6,8,2.8,0.728,0.6,1,7.15
Marco Reus,Borussia Dortmund,1190,7,4,2.5,0.755,0.4,1,7.15
Diego Demme,RBL,2872,1,3,0.4,0.7909999999999999,0.9,1,7.15
David Alaba,Bayern,2508,4,4,1.0,0.8859999999999999,0.7,1,7.14
Philipp Lahm,Bayern,2090,1,2,0.3,0.9,0.7,0,7.14
Pawel Olkowski,FC Koln,1106,0,1,0.1,0.603,1.9,1,7.13
Juan Bernat,Bayern,1236,2,2,0.6,0.899,0.9,2,7.13
Mario Gomez,Wolfsburg,2854,16,1,2.5,0.626,4.0,3,7.13
Thomas Delaney,Werder Bremen,920,4,1,1.1,0.698,3.2,1,7.13
Alessandro Schöpf,Schalke,2038,6,2,1.0,0.775,0.8,2,7.12
Josuha Guilavogui,Wolfsburg,1541,0,0,0.4,0.8220000000000001,1.8,1,7.12
Lukasz Piszczek,Borussia Dortmund,2036,5,1,0.8,0.805,2.0,2,7.1
Julian Draxler,Wolfsburg,1055,0,2,2.2,0.8240000000000001,1.3,0,7.09
Andrej Kramaric,Hoffenheim,2374,15,8,2.9,0.831,0.2,3,7.09
Mahmoud Dahoud,Borussia M.Gladbach,2281,2,6,1.6,0.8140000000000001,0.5,1,7.09
