home,away,home_score,away_score
Borussia Dortmund,Mainz 05,2,2
RB Leipzig,Schalke 04,4,2
Union Berlin,Werder Bremen,1,0
FC Koln,Bayern Munich,1,2
Borussia M.Gladbach,Augsburg,2,0
Eintracht Frankfurt,Freiburg,2,1
Wolfsburg,Hertha Berlin,1,2
Bochum,Bayer Leverkusen,3,0
VfB Stuttgart,Hoffenheim,1,1
Borussia Dortmund,Mainz 05,2,2
RB Leipzig,Schalke 04,4,2
Union Berlin,Werder Bremen,1,0
FC Koln,Bayern Munich,1,2
Borussia M.Gladbach,Augsburg,2,0
Eintracht Frankfurt,Freiburg,2,1
Wolfsburg,Hertha Berlin,1,2
Bochum,Bayer Leverkusen,3,0
VfB Stuttgart,Hoffenheim,1,1
Freiburg,Wolfsburg,2,0
Hoffenheim,Union Berlin,4,2
Hertha Berlin,Bochum,1,1
Schalke 04,Eintracht Frankfurt,2,2
Werder Bremen,FC Koln,1,1
Bayern Munich,RB Leipzig,1,3
Mainz 05,VfB Stuttgart,1,4
Augsburg,Borussia Dortmund,0,3
Bayer Leverkusen,Borussia M.Gladbach,2,2
FC Koln,Hertha Berlin,5,2
Eintracht Frankfurt,Mainz 05,3,0
Wolfsburg,Hoffenheim,2,1
Bochum,Augsburg,3,2
Bayern Munich,Schalke 04,6,0
Union Berlin,Freiburg,4,2
Borussia Dortmund,Borussia M.Gladbach,5,2
VfB Stuttgart,Bayer Leverkusen,1,1
RB Leipzig,Werder Bremen,2,1
Bayer Leverkusen,FC Koln,1,2
Mainz 05,Schalke 04,2,3
Hoffenheim,Eintracht Frankfurt,3,1
Borussia M.Gladbach,Bochum,2,0
Augsburg,Union Berlin,1,0
Hertha Berlin,VfB Stuttgart,2,1
Freiburg,RB Leipzig,0,1
Werder Bremen,Bayern Munich,1,2
Borussia Dortmund,Wolfsburg,6,0
Bochum,Borussia Dortmund,1,1
VfB Stuttgart,Borussia M.Gladbach,2,1
RB Leipzig,Hoffenheim,1,0
Union Berlin,Bayer Leverkusen,0,0
FC Koln,Freiburg,0,1
Eintracht Frankfurt,Augsburg,1,1
Schalke 04,Werder Bremen,2,1
Bayern Munich,Hertha Berlin,2,0
Wolfsburg,Mainz 05,3,0
Augsburg,VfB Stuttgart,1,1
Hertha Berlin,Werder Bremen,2,4
Mainz 05,Bayern Munich,3,1
Hoffenheim,FC Koln,1,3
Bochum,Wolfsburg,1,5
Borussia Dortmund,Eintracht Frankfurt,4,0
Freiburg,Schalke 04,4,0
Bayer Leverkusen,RB Leipzig,2,0
Borussia M.Gladbach,Union Berlin,0,1
Schalke 04,Hertha Berlin,5,2
VfB Stuttgart,Borussia Dortmund,3,3
FC Koln,Mainz 05,1,1
Bayern Munich,Hoffenheim,1,1
RB Leipzig,Augsburg,3,2
Eintracht Frankfurt,Borussia M.Gladbach,1,1
Werder Bremen,Freiburg,1,2
Union Berlin,Bochum,1,1
Wolfsburg,Bayer Leverkusen,0,0
Borussia Dortmund,Union Berlin,2,1
Bayer Leverkusen,Eintracht Frankfurt,3,1
Freiburg,Bayern Munich,0,1
Mainz 05,Werder Bremen,2,2
Augsburg,FC Koln,1,3
Hertha Berlin,RB Leipzig,0,1
Borussia M.Gladbach,Wolfsburg,2,0
Bochum,VfB Stuttgart,2,3
Hoffenheim,Schalke 04,2,0
Eintracht Frankfurt,Bochum,1,1
Wolfsburg,Augsburg,2,2
Schalke 04,Bayer Leverkusen,0,3
Union Berlin,VfB Stuttgart,3,0
Freiburg,Hertha Berlin,1,1
RB Leipzig,Mainz 05,0,3
Bayern Munich,Borussia Dortmund,4,2
FC Koln,Borussia M.Gladbach,0,0
Werder Bremen,Hoffenheim,1,2
Borussia M.Gladbach,Werder Bremen,2,2
Bochum,RB Leipzig,1,0
Augsburg,Schalke 04,1,1
VfB Stuttgart,Wolfsburg,0,1
Hoffenheim,Hertha Berlin,3,1
Borussia Dortmund,FC Koln,6,1
Union Berlin,Eintracht Frankfurt,2,0
Bayer Leverkusen,Bayern Munich,2,1
Mainz 05,Freiburg,1,1
FC Koln,Bochum,0,2
Eintracht Frankfurt,VfB Stuttgart,1,1
Hertha Berlin,Mainz 05,1,1
Bayern Munich,Augsburg,5,3
RB Leipzig,Borussia M.Gladbach,3,0
Schalke 04,Borussia Dortmund,2,2
Freiburg,Hoffenheim,2,1
Werder Bremen,Bayer Leverkusen,2,3
Wolfsburg,Union Berlin,1,1
Borussia Dortmund,RB Leipzig,2,1
Bochum,Schalke 04,0,2
Augsburg,Werder Bremen,2,1
Union Berlin,FC Koln,0,0
Mainz 05,Hoffenheim,1,0
Borussia M.Gladbach,Freiburg,0,0
VfB Stuttgart,Bayern Munich,1,2
Bayer Leverkusen,Hertha Berlin,4,1
Wolfsburg,Eintracht Frankfurt,2,2
Mainz 05,Borussia M.Gladbach,4,0
Hoffenheim,Borussia Dortmund,0,1
Hertha Berlin,Augsburg,2,0
RB Leipzig,Eintracht Frankfurt,2,1
FC Koln,Wolfsburg,0,2
Werder Bremen,Bochum,3,0
Schalke 04,VfB Stuttgart,2,1
Freiburg,Bayer Leverkusen,1,1
Bayern Munich,Union Berlin,3,0
Augsburg,Hoffenheim,1,0
