home,away,home_score,away_score
Arminia Bielefeld,RB Leipzig,1,1
Augsburg,Greuther Fuerth,2,1
Mainz 05,Eintracht Frankfurt,2,2
VfB Stuttgart,FC Koln,2,1
Borussia M.Gladbach,Hoffenheim,5,1
Union Berlin,Bochum,3,2
Bayer Leverkusen,Freiburg,2,1
Wolfsburg,Bayern Munich,2,2
Borussia Dortmund,Hertha Berlin,2,1
Arminia Bielefeld,RB Leipzig,1,1
Augsburg,Greuther Fuerth,2,1
Mainz 05,Eintracht Frankfurt,2,2
VfB Stuttgart,FC Koln,2,1
Borussia M.Gladbach,Hoffenheim,5,1
Union Berlin,Bochum,3,2
Bayer Leverkusen,Freiburg,2,1
Wolfsburg,Bayern Munich,2,2
Borussia Dortmund,Hertha Berlin,2,1
Borussia M.Gladbach,RB Leipzig,3,1
Bayer Leverkusen,Eintracht Frankfurt,2,0
Bochum,Arminia Bielefeld,2,1
FC Koln,Wolfsburg,0,1
Greuther Fuerth,Borussia Dortmund,1,3
Hoffenheim,Bayer Leverkusen,2,4
Freiburg,Union Berlin,1,4
Hertha Berlin,Mainz 05,1,2
Eintracht Frankfurt,Borussia M.Gladbach,1,1
Bayern Munich,VfB Stuttgart,2,2
RB Leipzig,Augsburg,4,0
Union Berlin,Greuther Fuerth,1,1
Borussia Dortmund,Bochum,3,4
VfB Stuttgart,Wolfsburg,1,1
Arminia Bielefeld,Hertha Berlin,1,1
Augsburg,FC Koln,1,4
Mainz 05,Bayern Munich,3,1
Hoffenheim,Freiburg,3,4
Wolfsburg,Mainz 05,5,0
RB Leipzig,Union Berlin,1,2
Greuther Fuerth,Bayer Leverkusen,1,4
FC Koln,Arminia Bielefeld,3,1
Freiburg,Borussia M.Gladbach,3,3
Eintracht Frankfurt,Hoffenheim,2,2
Bayern Munich,Borussia Dortmund,3,1
Bochum,Augsburg,0,2
Hertha Berlin,VfB Stuttgart,2,0
Freiburg,Bochum,3,0
Augsburg,Hertha Berlin,0,1
Mainz 05,VfB Stuttgart,0,0
Borussia Dortmund,Wolfsburg,6,1
Borussia M.Gladbach,FC Koln,1,3
Arminia Bielefeld,Bayern Munich,0,3
Union Berlin,Eintracht Frankfurt,2,0
Hoffenheim,Greuther Fuerth,0,0
Bayer Leverkusen,RB Leipzig,0,1
Augsburg,Mainz 05,2,1
VfB Stuttgart,Borussia Dortmund,0,2
Wolfsburg,Arminia Bielefeld,4,0
Greuther Fuerth,Borussia M.Gladbach,0,2
FC Koln,Mainz 05,3,2
Bayern Munich,Augsburg,1,0
Hertha Berlin,Union Berlin,1,4
Bochum,Bayer Leverkusen,0,0
Eintracht Frankfurt,Freiburg,1,2
RB Leipzig,Hoffenheim,3,0
Union Berlin,FC Koln,1,0
Bayer Leverkusen,Hertha Berlin,2,1
Eintracht Frankfurt,Greuther Fuerth,0,0
Arminia Bielefeld,VfB Stuttgart,1,1
Hoffenheim,Bochum,1,2
Freiburg,Bayern Munich,1,4
Borussia Dortmund,RB Leipzig,1,4
Augsburg,Wolfsburg,3,0
Borussia M.Gladbach,Mainz 05,1,1
Mainz 05,Borussia Dortmund,0,1
Bochum,Borussia M.Gladbach,0,2
Greuther Fuerth,Freiburg,0,0
Hertha Berlin,Hoffenheim,3,0
Mainz 05,Arminia Bielefeld,4,0
VfB Stuttgart,Augsburg,3,2
Bayern Munich,Union Berlin,4,0
RB Leipzig,Eintracht Frankfurt,0,0
Wolfsburg,Bayer Leverkusen,0,2
FC Koln,Borussia Dortmund,1,1
Hoffenheim,Bayern Munich,1,1
Freiburg,Wolfsburg,3,2
Union Berlin,VfB Stuttgart,1,1
Borussia M.Gladbach,Hertha Berlin,2,0
Bayer Leverkusen,FC Koln,0,1
Eintracht Frankfurt,Bochum,2,1
Borussia Dortmund,Arminia Bielefeld,1,0
Greuther Fuerth,RB Leipzig,1,6
Arminia Bielefeld,Augsburg,0,1
Hertha Berlin,Eintracht Frankfurt,1,4
Wolfsburg,Union Berlin,1,0
RB Leipzig,Freiburg,1,1
Bayern Munich,Bayer Leverkusen,1,1
Bochum,Greuther Fuerth,2,1
VfB Stuttgart,Borussia M.Gladbach,3,2
FC Koln,Hoffenheim,0,1
Hoffenheim,VfB Stuttgart,2,1
Freiburg,Hertha Berlin,3,0
Borussia M.Gladbach,Wolfsburg,2,2
Union Berlin,Mainz 05,3,1
Bayer Leverkusen,Arminia Bielefeld,3,0
Greuther Fuerth,FC Koln,1,1
Eintracht Frankfurt,Bayern Munich,0,1
Bochum,RB Leipzig,0,1
Augsburg,Borussia Dortmund,1,1
Mainz 05,Bayer Leverkusen,3,2
VfB Stuttgart,Bochum,1,1
Wolfsburg,Hoffenheim,1,2
Arminia Bielefeld,Union Berlin,1,0
Augsburg,Freiburg,1,2
FC Koln,Eintracht Frankfurt,1,0
Bayern Munich,Greuther Fuerth,4,1
Borussia Dortmund,Borussia M.Gladbach,6,0
Hertha Berlin,RB Leipzig,1,6
RB Leipzig,FC Koln,3,1
Eintracht Frankfurt,Wolfsburg,0,2
Freiburg,Mainz 05,1,1
Borussia M.Gladbach,Augsburg,3,2
Greuther Fuerth,Hertha Berlin,2,1
Bochum,Bayern Munich,4,2
