home,away,home_score,away_score
Bayern Munich,VfB Stuttgart,1,4
Hoffenheim,Borussia Dortmund,3,1
Hertha Berlin,RB Leipzig,2,6
Freiburg,Augsburg,2,0
Schalke 04,Eintracht Frankfurt,1,0
Bayer Leverkusen,Hannover 96,3,2
Hamburger SV,Borussia M.Gladbach,2,1
Mainz 05,Werder Bremen,1,2
Wolfsburg,FC Koln,4,1
Bayern Munich,VfB Stuttgart,1,4
Hoffenheim,Borussia Dortmund,3,1
Hertha Berlin,RB Leipzig,2,6
Freiburg,Augsburg,2,0
Schalke 04,Eintracht Frankfurt,1,0
Bayer Leverkusen,Hannover 96,3,2
Hamburger SV,Borussia M.Gladbach,2,1
Mainz 05,Werder Bremen,1,2
Wolfsburg,FC Koln,4,1
Augsburg,Schalke 04,1,2
Hannover 96,Hertha Berlin,3,1
VfB Stuttgart,Hoffenheim,2,0
Borussia Dortmund,Mainz 05,1,2
RB Leipzig,Wolfsburg,4,1
FC Koln,Bayern Munich,1,3
Werder Bremen,Bayer Leverkusen,0,0
Borussia M.Gladbach,Freiburg,3,1
Eintracht Frankfurt,Hamburger SV,3,0
Hoffenheim,Hannover 96,3,1
Hertha Berlin,Augsburg,2,2
Freiburg,FC Koln,3,2
Bayern Munich,Eintracht Frankfurt,4,1
Schalke 04,Borussia M.Gladbach,1,1
Wolfsburg,Hamburger SV,1,3
Bayer Leverkusen,VfB Stuttgart,0,1
Mainz 05,RB Leipzig,3,0
Werder Bremen,Borussia Dortmund,1,1
Mainz 05,Freiburg,2,0
Borussia M.Gladbach,Wolfsburg,3,0
Eintracht Frankfurt,Hertha Berlin,0,3
Hamburger SV,Freiburg,1,0
Hannover 96,Bayern Munich,0,3
VfB Stuttgart,Werder Bremen,2,0
RB Leipzig,Hoffenheim,2,5
Borussia Dortmund,Bayer Leverkusen,4,0
Augsburg,Mainz 05,2,0
FC Koln,Schalke 04,2,2
RB Leipzig,Bayer Leverkusen,1,4
Wolfsburg,Augsburg,0,0
VfB Stuttgart,Hannover 96,1,1
Bayer Leverkusen,Eintracht Frankfurt,4,1
Hoffenheim,Hamburger SV,2,0
Hertha Berlin,FC Koln,2,1
Bayern Munich,Borussia M.Gladbach,5,1
Schalke 04,Borussia Dortmund,2,0
Werder Bremen,RB Leipzig,1,1
Hannover 96,Werder Bremen,2,1
FC Koln,Mainz 05,1,1
Freiburg,Wolfsburg,0,2
Borussia M.Gladbach,Hertha Berlin,2,1
Augsburg,Bayern Munich,1,4
Hamburger SV,Schalke 04,3,2
Borussia Dortmund,VfB Stuttgart,3,0
Eintracht Frankfurt,Hoffenheim,1,1
Bayer Leverkusen,Augsburg,0,0
Hannover 96,RB Leipzig,2,3
VfB Stuttgart,Hamburger SV,1,1
Hoffenheim,FC Koln,6,0
Schalke 04,Freiburg,2,0
Bayern Munich,Borussia Dortmund,6,0
Hertha Berlin,Wolfsburg,0,0
Werder Bremen,Eintracht Frankfurt,2,1
Mainz 05,Borussia M.Gladbach,0,0
Werder Bremen,FC Koln,3,1
Freiburg,VfB Stuttgart,1,2
Borussia M.Gladbach,Hoffenheim,3,3
Eintracht Frankfurt,Mainz 05,3,0
Augsburg,Werder Bremen,1,3
Hamburger SV,Hertha Berlin,1,2
Wolfsburg,Schalke 04,0,1
Borussia Dortmund,Hannover 96,1,0
FC Koln,Bayer Leverkusen,2,0
RB Leipzig,Bayern Munich,2,1
Mainz 05,Schalke 04,0,1
Hannover 96,Augsburg,1,3
Hoffenheim,Wolfsburg,3,0
Hertha Berlin,Freiburg,0,0
Bayern Munich,Hamburger SV,6,0
Bayer Leverkusen,Borussia M.Gladbach,2,0
VfB Stuttgart,RB Leipzig,0,0
Borussia Dortmund,Eintracht Frankfurt,3,2
Borussia Dortmund,Augsburg,1,1
Borussia M.Gladbach,Werder Bremen,2,2
Schalke 04,Hertha Berlin,1,0
Eintracht Frankfurt,Hannover 96,1,0
Augsburg,Hoffenheim,0,2
Hamburger SV,Mainz 05,0,0
Wolfsburg,Bayer Leverkusen,1,2
RB Leipzig,Borussia Dortmund,1,1
FC Koln,VfB Stuttgart,2,3
Freiburg,Bayern Munich,0,4
Eintracht Frankfurt,RB Leipzig,2,1
Mainz 05,Wolfsburg,1,1
Hannover 96,Borussia M.Gladbach,0,1
VfB Stuttgart,Eintracht Frankfurt,1,0
Bayern Munich,Hertha Berlin,0,0
Hoffenheim,Freiburg,1,1
Werder Bremen,Hamburger SV,1,0
Bayer Leverkusen,Schalke 04,0,2
RB Leipzig,FC Koln,1,2
Hertha Berlin,Mainz 05,0,2
Freiburg,Werder Bremen,1,0
FC Koln,Hannover 96,1,1
Hamburger SV,Bayer Leverkusen,1,2
Wolfsburg,Bayern Munich,1,2
Schalke 04,Hoffenheim,2,1
Augsburg,VfB Stuttgart,0,1
Borussia M.Gladbach,Borussia Dortmund,0,1
RB Leipzig,Augsburg,2,0
Hoffenheim,Mainz 05,4,2
Eintracht Frankfurt,FC Koln,4,2
Bayer Leverkusen,Hertha Berlin,0,2
Hannover 96,Freiburg,2,1
Borussia Dortmund,Hamburger SV,2,0
Bayern Munich,Schalke 04,2,1
VfB Stuttgart,Borussia M.Gladbach,1,0
Werder Bremen,Wolfsburg,3,1
FC Koln,Borussia Dortmund,2,3
Mainz 05,Bayern Munich,0,2
Wolfsburg,VfB Stuttgart,1,1
Hertha Berlin,Hoffenheim,1,1
Freiburg,Bayer Leverkusen,0,0
Schalke 04,Werder Bremen,1,2
Borussia M.Gladbach,RB Leipzig,0,1
Augsburg,Eintracht Frankfurt,3,0
Hamburger SV,Hannover 96,1,1
Eintracht Frankfurt,Borussia M.Gladbach,2,0
VfB Stuttgart,Schalke 04,0,2
Bayern Munich,Hoffenheim,5,2
Borussia Dortmund,Freiburg,2,2
RB Leipzig,Hamburger SV,1,1
FC Koln,Augsburg,1,1
Werder Bremen,Hertha Berlin,0,0
Bayer Leverkusen,Mainz 05,2,0
Hannover 96,Wolfsburg,0,1
Hertha Berlin,Borussia Dortmund,1,1
Freiburg,RB Leipzig,2,1
Borussia M.Gladbach,Augsburg,2,0
Mainz 05,VfB Stuttgart,3,2
Wolfsburg,Eintracht Frankfurt,1,3
Hoffenheim,Bayer Leverkusen,1,4
Hamburger SV,FC Koln,0,2
Bayern Munich,Werder Bremen,4,2
Schalke 04,Hannover 96,1,1
Bayer Leverkusen,Bayern Munich,1,3
Augsburg,Hamburger SV,1,0
Hannover 96,Mainz 05,3,2
VfB Stuttgart,Hertha Berlin,1,0
Werder Bremen,Hoffenheim,1,1
Eintracht Frankfurt,Freiburg,1,1
RB Leipzig,Schalke 04,3,1
FC Koln,Borussia M.Gladbach,2,1
Borussia Dortmund,Wolfsburg,0,0
Wolfsburg,RB Leipzig,1,1
Hamburger SV,Eintracht Frankfurt,1,2
Mainz 05,Borussia Dortmund,0,2
Freiburg,Borussia M.Gladbach,1,0
Hoffenheim,VfB Stuttgart,1,0
Hertha Berlin,Hannover 96,3,1
Schalke 04,Augsburg,3,2
Bayer Leverkusen,Werder Bremen,1,0
Bayern Munich,FC Koln,1,0
Borussia M.Gladbach,Hamburger SV,3,1
Eintracht Frankfurt,Schalke 04,2,2
Werder Bremen,Mainz 05,2,2
Augsburg,Freiburg,3,3
VfB Stuttgart,Bayern Munich,0,1
FC Koln,Wolfsburg,1,0
Borussia Dortmund,Hoffenheim,2,1
Hannover 96,Bayer Leverkusen,4,4
RB Leipzig,Hertha Berlin,2,3
VfB Stuttgart,Bayer Leverkusen,0,2
Hamburger SV,Wolfsburg,0,0
Borussia Dortmund,Werder Bremen,1,2
RB Leipzig,Mainz 05,2,2
Eintracht Frankfurt,Bayern Munich,0,1
Borussia M.Gladbach,Schalke 04,1,1
FC Koln,Freiburg,3,4
Hannover 96,Hoffenheim,2,0
Augsburg,Hertha Berlin,1,1
Freiburg,Hamburger SV,0,0
Werder Bremen,VfB Stuttgart,1,0
Bayer Leverkusen,Borussia Dortmund,1,1
Mainz 05,Augsburg,1,3
Bayern Munich,Hannover 96,3,1
Hoffenheim,RB Leipzig,4,0
Schalke 04,FC Koln,2,2
Hertha Berlin,Eintracht Frankfurt,1,2
Wolfsburg,Borussia M.Gladbach,3,0
Hannover 96,VfB Stuttgart,1,1
Borussia Dortmund,Schalke 04,4,4
RB Leipzig,Werder Bremen,2,0
Freiburg,Mainz 05,2,1
Eintracht Frankfurt,Bayer Leverkusen,0,1
Augsburg,Wolfsburg,2,1
Borussia M.Gladbach,Bayern Munich,2,1
Hamburger SV,Hoffenheim,3,0
FC Koln,Hertha Berlin,0,2
VfB Stuttgart,Borussia Dortmund,2,1
Bayer Leverkusen,RB Leipzig,2,2
Mainz 05,FC Koln,1,0
Wolfsburg,Freiburg,3,1
Bayern Munich,Augsburg,3,0
Hoffenheim,Eintracht Frankfurt,1,1
Hertha Berlin,Borussia M.Gladbach,2,4
Schalke 04,Hamburger SV,2,0
Werder Bremen,Hannover 96,4,0
Eintracht Frankfurt,Werder Bremen,2,1
Augsburg,Bayer Leverkusen,1,1
Hamburger SV,VfB Stuttgart,3,1
RB Leipzig,Hannover 96,2,1
Freiburg,Schalke 04,0,1
Borussia M.Gladbach,Mainz 05,1,1
Borussia Dortmund,Bayern Munich,1,3
FC Koln,Hoffenheim,0,3
Wolfsburg,Hertha Berlin,3,3
Mainz 05,Eintracht Frankfurt,1,1
Hannover 96,Borussia Dortmund,4,2
Schalke 04,Wolfsburg,1,1
Bayer Leverkusen,FC Koln,2,1
Hoffenheim,Borussia M.Gladbach,1,3
Hertha Berlin,Hamburger SV,2,1
Bayern Munich,RB Leipzig,2,0
Werder Bremen,Augsburg,0,3
VfB Stuttgart,Freiburg,3,0
Schalke 04,Mainz 05,2,0
Eintracht Frankfurt,Borussia Dortmund,2,2
Augsburg,Hannover 96,1,2
RB Leipzig,VfB Stuttgart,1,0
Borussia M.Gladbach,Bayer Leverkusen,1,5
Hamburger SV,Bayern Munich,0,1
FC Koln,Werder Bremen,0,0
Freiburg,Hertha Berlin,1,1
Wolfsburg,Hoffenheim,1,1
VfB Stuttgart,FC Koln,2,1
Mainz 05,Hamburger SV,3,2
Hannover 96,Eintracht Frankfurt,1,2
Bayern Munich,Freiburg,5,0
Hoffenheim,Augsburg,2,2
Hertha Berlin,Schalke 04,0,2
Borussia Dortmund,RB Leipzig,2,3
Bayer Leverkusen,Wolfsburg,2,2
Werder Bremen,Borussia M.Gladbach,0,2
Schalke 04,Bayer Leverkusen,1,1
Eintracht Frankfurt,VfB Stuttgart,2,1
Augsburg,Borussia Dortmund,1,2
