name,team,min,goal,assist,shot,pass,aer,mom,rating
Robert Lewandowski,Bayern,2762,34,4,4.5,0.732,2.0,7,8.13
Jadon Sancho,Borussia Dortmund,2292,17,16,1.6,0.851,0.0,7,7.64
Timo Werner,RBL,2809,28,8,3.6,0.7559999999999999,0.2,10,7.6
Alphonso Davies,Bayern,2234,3,5,0.4,0.865,1.1,1,7.52
Marco Reus,Borussia Dortmund,1502,11,5,2.5,0.825,0.4,2,7.5
Serge Gnabry,Bayern,2203,12,10,3.1,0.823,0.2,7,7.49
Thiago Alcântara,Bayern,1772,3,0,0.8,0.905,1.5,1,7.47
Thomas Müller,Bayern,2260,8,21,1.6,0.78,1.0,1,7.42
Filip Kostic,Eintracht Frankfurt,2959,4,11,2.7,0.67,0.6,5,7.41
Joshua Kimmich,Bayern,2822,4,7,0.8,0.9009999999999999,0.8,1,7.4
Robert Lewandowski,Bayern,2762,34,4,4.5,0.732,2.0,7,8.13
Jadon Sancho,Borussia Dortmund,2292,17,16,1.6,0.851,0.0,7,7.64
Timo Werner,RBL,2809,28,8,3.6,0.7559999999999999,0.2,10,7.6
Matheus Cunha,Hertha Berlin,747,5,0,3.2,0.654,0.5,3,7.56
Alphonso Davies,Bayern,2234,3,5,0.4,0.865,1.1,1,7.52
Marco Reus,Borussia Dortmund,1502,11,5,2.5,0.825,0.4,2,7.5
Serge Gnabry,Bayern,2203,12,10,3.1,0.823,0.2,7,7.49
Thiago Alcântara,Bayern,1772,3,0,0.8,0.905,1.5,1,7.47
Erling Haaland,Borussia Dortmund,1063,13,2,2.3,0.713,1.3,1,7.45
Paulo Otávio,Wolfsburg,380,0,1,0.6,0.69,0.8,0,7.44
Thomas Müller,Bayern,2260,8,21,1.6,0.78,1.0,1,7.42
Filip Kostic,Eintracht Frankfurt,2959,4,11,2.7,0.67,0.6,5,7.41
Joshua Kimmich,Bayern,2822,4,7,0.8,0.9009999999999999,0.8,1,7.4
Philipp Pentke,Hoffenheim,360,0,0,0.0,0.745,1.0,0,7.36
Christopher Nkunku,RBL,1927,5,13,1.6,0.8590000000000001,0.8,5,7.33
Kevin Mbabu,Wolfsburg,1694,3,1,0.6,0.722,1.7,4,7.32
Simon Falette,Eintracht Frankfurt,90,0,0,0.0,0.778,4.0,0,7.32
Raphaël Guerreiro,Borussia Dortmund,2340,8,2,1.4,0.892,0.3,2,7.32
Achraf Hakimi,Borussia Dortmund,2717,5,10,1.2,0.8490000000000001,0.5,2,7.32
Suat Serdar,Schalke,1605,7,0,1.8,0.754,1.1,4,7.31
Marcus Thuram,Borussia M.Gladbach,2217,10,8,1.8,0.6940000000000001,2.5,5,7.3
Niclas Füllkrug,Werder Bremen,402,4,1,2.1,0.6609999999999999,4.1,1,7.29
Alassane Pléa,Borussia M.Gladbach,2151,10,10,2.9,0.752,1.1,4,7.24
Kai Havertz,Leverkusen,2462,12,6,2.0,0.8540000000000001,1.4,3,7.24
Marcel Sabitzer,RBL,2507,9,7,2.2,0.775,0.8,1,7.24
Philippe Coutinho,Bayern,1414,8,6,2.5,0.841,0.2,4,7.22
Thorgan Hazard,Borussia Dortmund,2393,7,13,1.5,0.81,0.5,2,7.21
Andrej Kramaric,Hoffenheim,1423,12,2,2.3,0.83,0.5,3,7.21
Benjamin Pavard,Bayern,2790,4,4,0.7,0.887,2.3,2,7.19
Leon Goretzka,Bayern,1513,6,5,1.6,0.8590000000000001,1.3,2,7.17
Christopher Trimmel,Union Berlin,2864,0,8,0.2,0.713,1.3,3,7.16
Denis Zakaria,Borussia M.Gladbach,1947,2,2,1.0,0.867,0.9,0,7.15
Marcel Halstenberg,RBL,2523,3,3,1.1,0.8490000000000001,1.8,1,7.15
Emre Can,Borussia Dortmund,958,2,0,1.3,0.883,1.3,1,7.14
Ramy Bensebaïni,Borussia M.Gladbach,1450,5,3,1.2,0.775,2.4,0,7.14
Mark Flekken,Freiburg,900,0,0,0.0,0.6779999999999999,0.1,1,7.14
Robert Skov,Hoffenheim,2613,4,7,2.0,0.79,0.6,1,7.14
Kingsley Coman,Bayern,1507,4,3,1.5,0.823,0.8,0,7.13
Angeliño,RBL,1095,1,2,0.4,0.8079999999999999,0.5,0,7.12
Mats Hummels,Borussia Dortmund,2586,1,3,0.7,0.875,2.9,0,7.11
Kevin Kampl,RBL,677,2,2,0.5,0.8809999999999999,0.2,1,7.11
Kevin Volland,Leverkusen,2051,10,7,2.9,0.708,1.4,4,7.1
Sebastian Andersson,Union Berlin,2689,12,1,2.0,0.599,7.4,5,7.07
Nordi Mukiele,RBL,1785,3,1,0.9,0.769,2.0,2,7.07
Mark Uth,FC Koln,1168,5,5,2.9,0.72,0.5,1,7.07
Bas Dost,Eintracht Frankfurt,1477,8,2,1.3,0.5920000000000001,5.4,2,7.06
Wout Weghorst,Wolfsburg,2741,16,3,2.7,0.631,4.1,4,7.06
Niclas Thiede,Freiburg,67,0,0,0.0,0.7,1.0,0,7.06
Dayot Upamecano,RBL,2360,0,1,0.5,0.8909999999999999,1.9,1,7.06
Patrik Schick,RBL,1304,10,2,2.4,0.72,2.7,0,7.06
Dedryck Boyata,Hertha Berlin,2441,4,1,0.6,0.894,2.7,2,7.04
Julian Brandt,Borussia Dortmund,2210,3,7,1.0,0.838,0.6,0,7.04
Florian Niederlechner,Augsburg,2732,13,6,2.4,0.7340000000000001,1.4,4,7.03
Jordan Torunarigha,Hertha Berlin,1461,1,1,0.1,0.853,2.2,0,7.03
William,Wolfsburg,1366,1,1,1.1,0.7040000000000001,1.2,1,7.03
Salif Sané,Schalke,1125,2,1,0.6,0.85,4.5,1,7.02
Sebastian Schonlau,Paderborn,2070,2,0,0.5,0.879,2.5,1,7.01
