name,team,min,goal,assist,shot,pass,aer,mom,rating
Jude Bellingham,Borussia Dortmund,2693,8,4,2.2,0.831,1.1,6,7.58
Joshua Kimmich,Bayern,2815,5,6,0.8,0.897,0.5,4,7.47
Niclas Füllkrug,Werder Bremen,2479,16,5,2.8,0.637,5.5,5,7.38
Christopher Nkunku,RBL,1899,16,4,3.0,0.818,0.7,8,7.35
Jamal Musiala,Bayern,2212,12,10,2.0,0.8540000000000001,0.4,4,7.34
Dominik Szoboszlai,RBL,2453,6,8,1.9,0.83,0.2,4,7.32
Randal Kolo Muani,Eintracht Frankfurt,2648,15,11,2.4,0.67,1.9,10,7.29
Julian Brandt,Borussia Dortmund,2412,9,8,1.3,0.838,0.3,3,7.28
Raphaël Guerreiro,Borussia Dortmund,2296,4,12,1.2,0.851,0.2,3,7.27
Vincenzo Grifo,Freiburg,2427,15,5,2.0,0.7879999999999999,0.5,5,7.26
Tjark Ernst,Hertha Berlin,90,0,0,0.0,0.69,0.0,0,7.7
Jude Bellingham,Borussia Dortmund,2693,8,4,2.2,0.831,1.1,6,7.58
Joshua Kimmich,Bayern,2815,5,6,0.8,0.897,0.5,4,7.47
Niclas Füllkrug,Werder Bremen,2479,16,5,2.8,0.637,5.5,5,7.38
Christopher Nkunku,RBL,1899,16,4,3.0,0.818,0.7,8,7.35
Jamal Musiala,Bayern,2212,12,10,2.0,0.8540000000000001,0.4,4,7.34
Dominik Szoboszlai,RBL,2453,6,8,1.9,0.83,0.2,4,7.32
Randal Kolo Muani,Eintracht Frankfurt,2648,15,11,2.4,0.67,1.9,10,7.29
Julian Brandt,Borussia Dortmund,2412,9,8,1.3,0.838,0.3,3,7.28
Raphaël Guerreiro,Borussia Dortmund,2296,4,12,1.2,0.851,0.2,3,7.27
Vincenzo Grifo,Freiburg,2427,15,5,2.0,0.7879999999999999,0.5,5,7.26
Jonas Hofmann,Borussia M.Gladbach,2693,12,9,1.5,0.809,0.4,7,7.25
Sébastien Haller,Borussia Dortmund,1232,9,3,1.8,0.705,2.2,1,7.21
Donyell Malen,Borussia Dortmund,1724,9,5,2.5,0.804,0.2,3,7.2
Julien Duranville,Borussia Dortmund,28,0,0,1.0,0.778,0.0,0,7.2
Kingsley Coman,Bayern,1421,8,5,2.0,0.847,0.5,4,7.2
João Cancelo,Bayern,1015,1,4,0.8,0.851,1.1,0,7.2
Eric Choupo Moting,Bayern,1117,10,2,1.6,0.7759999999999999,0.9,3,7.19
Benjamin Pavard,Bayern,2432,4,1,1.1,0.899,2.1,2,7.17
Alphonso Davies,Bayern,2049,1,4,0.7,0.872,0.2,2,7.14
Florian Wirtz,Leverkusen,1092,1,6,0.4,0.785,0.1,3,7.14
Yann Sommer,Borussia M.Gladbach,900,0,0,0.0,0.805,0.0,2,7.13
Thomas Müller,Bayern,1672,7,8,1.7,0.774,1.4,1,7.12
Jeff Chabot,FC Koln,1806,0,2,0.7,0.8270000000000001,4.3,2,7.12
Jeremie Frimpong,Leverkusen,2723,8,7,1.1,0.812,0.4,4,7.12
Michael Gregoritsch,Freiburg,2173,10,4,2.2,0.5660000000000001,4.7,5,7.11
Serge Gnabry,Bayern,1943,14,5,2.4,0.823,0.3,4,7.1
Marcus Thuram,Borussia M.Gladbach,2519,13,6,3.1,0.752,1.4,4,7.09
Leroy Sané,Bayern,2012,8,7,2.4,0.828,0.2,1,7.09
Nico Schlotterbeck,Borussia Dortmund,2255,4,5,0.6,0.868,2.1,0,7.09
Frederik Winther,Augsburg,90,0,1,0.0,0.629,6.0,0,7.08
Florian Kainz,FC Koln,2372,6,10,1.7,0.726,0.3,3,7.06
Moussa Diaby,Leverkusen,2716,9,8,2.4,0.792,0.1,3,7.06
Willi Orbán,RBL,2951,4,0,0.8,0.8909999999999999,3.4,0,7.04
Ellyes Skhiri,FC Koln,2857,7,1,1.0,0.884,1.3,2,7.04
Maximilian Arnold,Wolfsburg,2775,5,3,1.1,0.8320000000000001,1.0,2,7.02
Frederik Rønnow,Union Berlin,2610,0,0,0.0,0.6679999999999999,0.3,3,7.01
Borna Sosa,Stuttgart,1961,2,7,0.6,0.8220000000000001,0.6,2,7.01
Philipp Hofmann,Bochum,2643,8,2,1.5,0.589,6.3,3,7.0
Konstantinos Mavropanos,Stuttgart,2288,2,1,1.7,0.835,2.9,2,7.0
Paulo Otávio,Wolfsburg,2051,0,5,0.8,0.752,1.1,1,7.0
Marvin Ducksch,Werder Bremen,2867,12,6,2.8,0.6920000000000001,0.7,2,7.0
Patrick Wimmer,Wolfsburg,1665,4,8,1.2,0.655,0.8,0,6.99
Jonas Hector,FC Koln,2826,0,2,0.8,0.797,1.8,1,6.99
Danilho Doekhi,Union Berlin,2218,5,1,0.7,0.8,2.4,4,6.99
Mats Hummels,Borussia Dortmund,2022,1,0,0.6,0.877,2.4,0,6.98
Wataru Endo,Stuttgart,2925,5,4,1.4,0.797,2.3,1,6.97
Ørjan Nyland,RBL,180,0,1,0.0,0.742,0.0,0,6.97
Ludovic Ajorque,Mainz,1220,6,1,1.9,0.594,5.4,2,6.97
Ramy Bensebaïni,Borussia M.Gladbach,2487,6,1,1.5,0.778,2.5,1,6.96
Matthias Ginter,Freiburg,3060,4,1,0.6,0.8290000000000001,3.5,1,6.95
Ralf Fährmann,Schalke,1026,0,0,0.0,0.655,0.2,0,6.94
Diant Ramaj,Eintracht Frankfurt,90,0,0,0.0,0.778,1.0,0,6.94
Mitchell Weiser,Werder Bremen,2520,2,9,0.9,0.7,0.8,2,6.93
Matthijs de Ligt,Bayern,2405,3,1,0.7,0.9129999999999999,3.1,0,6.93
Dani Olmo,RBL,1285,2,5,1.9,0.774,0.3,2,6.92
Christoph Baumgartner,Hoffenheim,2582,7,3,2.0,0.6829999999999999,2.2,1,6.91
Sheraldo Becker,Union Berlin,2582,11,7,2.0,0.6890000000000001,0.5,3,6.91
Michael Zetterer,Werder Bremen,151,0,0,0.0,0.625,0.5,0,6.91
Rodrigo Zalazar,Schalke,1326,1,6,1.7,0.6859999999999999,1.1,3,6.9
Ritsu Doan,Freiburg,2445,5,4,1.7,0.722,0.3,0,6.9
Finn Dahmen,Mainz,720,0,0,0.0,0.607,0.9,2,6.9
Timo Hübers,FC Koln,2558,3,0,0.5,0.8240000000000001,3.3,1,6.89
Leon Goretzka,Bayern,1738,3,2,1.5,0.828,1.7,1,6.89
Julian Ryerson,Union Berlin,1042,0,0,1.2,0.735,0.4,0,6.88
Emre Can,Borussia Dortmund,1896,2,1,0.6,0.897,1.1,1,6.88
Lucas Tousart,Hertha Berlin,2948,5,2,1.3,0.617,2.8,3,6.87
Andreas Hanche Olsen,Mainz,1497,1,2,0.4,0.7190000000000001,4.1,0,6.87
Robin Knoche,Union Berlin,2874,2,3,0.3,0.813,1.8,1,6.87
Sasa Kalajdzic,Stuttgart,235,0,3,1.7,0.635,3.0,0,6.87
Robert Andrich,Leverkusen,2409,2,2,1.0,0.8390000000000001,1.9,0,6.87
Marc Oliver Kempf,Hertha Berlin,2713,1,0,0.5,0.78,4.3,1,6.87
Noussair Mazraoui,Bayern,1072,1,4,0.4,0.8690000000000001,0.9,0,6.86
Konrad Laimer,RBL,1474,3,0,1.0,0.805,0.1,1,6.86
Felix Nmecha,Wolfsburg,1841,3,5,1.2,0.767,1.5,1,6.86
