name,team,min,goal,assist,shot,pass,aer,mom,rating
Eden Hazard,Chelsea,2926,16,15,2.5,0.843,0.5,14,7.81
Raheem Sterling,Man City,2777,17,10,2.3,0.858,0.4,8,7.61
Mohamed Salah,Liverpool,3262,22,8,3.6,0.759,0.3,8,7.57
Sergio Agüero,Man City,2480,21,8,3.6,0.85,0.5,5,7.53
Virgil van Dijk,Liverpool,3385,4,2,0.8,0.897,4.8,4,7.44
Sadio Mané,Liverpool,3086,22,1,2.4,0.782,1.0,6,7.43
Harry Kane,Tottenham,2427,17,4,3.6,0.731,1.8,6,7.38
Trent Alexander Arnold,Liverpool,2467,1,12,1.0,0.775,0.3,1,7.36
Lucas Digne,Everton,2966,4,4,1.0,0.76,2.6,4,7.36
Ricardo Pereira,Leicester,3125,2,6,0.7,0.78,1.9,4,7.34
Eden Hazard,Chelsea,2926,16,15,2.5,0.843,0.5,14,7.81
Raheem Sterling,Man City,2777,17,10,2.3,0.858,0.4,8,7.61
Mohamed Salah,Liverpool,3262,22,8,3.6,0.759,0.3,8,7.57
Sergio Agüero,Man City,2480,21,8,3.6,0.85,0.5,5,7.53
Virgil van Dijk,Liverpool,3385,4,2,0.8,0.897,4.8,4,7.44
Sadio Mané,Liverpool,3086,22,1,2.4,0.782,1.0,6,7.43
Harry Kane,Tottenham,2427,17,4,3.6,0.731,1.8,6,7.38
Trent Alexander Arnold,Liverpool,2467,1,12,1.0,0.775,0.3,1,7.36
Lucas Digne,Everton,2966,4,4,1.0,0.76,2.6,4,7.36
Ricardo Pereira,Leicester,3125,2,6,0.7,0.78,1.9,4,7.34
Paul Pogba,Man Utd,3012,13,9,3.0,0.828,1.7,7,7.31
Fernandinho,Man City,2382,1,3,1.0,0.875,2.6,2,7.31
Fabian Schär,Newcastle,2004,4,1,1.0,0.6809999999999999,2.7,6,7.3
Benjamin Mendy,Man City,900,0,5,0.7,0.883,0.8,0,7.29
Aaron Wan Bissaka,Crystal Palace,3135,0,3,0.3,0.73,1.2,3,7.27
David Silva,Man City,2412,6,8,1.5,0.878,0.6,1,7.26
Bernardo Silva,Man City,2853,7,7,1.7,0.861,0.3,4,7.26
Leroy Sané,Man City,1867,10,10,1.8,0.8440000000000001,0.3,1,7.26
Felipe Anderson,West Ham,3054,9,4,1.6,0.76,0.3,6,7.23
Wilfred Ndidi,Leicester,3299,2,0,1.4,0.799,3.4,3,7.21
Wilfried Zaha,Crystal Palace,3041,10,5,2.1,0.773,0.3,6,7.21
James Maddison,Leicester,2850,7,7,2.3,0.838,0.3,3,7.2
Roberto Firmino,Liverpool,2620,12,6,2.2,0.8079999999999999,0.9,4,7.2
Luka Milivojevic,Crystal Palace,3420,12,2,1.5,0.8,1.4,2,7.19
John Ruddy,Wolves,90,0,0,0.0,0.684,0.0,0,7.19
Oleksandr Zinchenko,Man City,1153,0,3,0.5,0.915,1.7,0,7.19
Marcos Alonso,Chelsea,2761,2,4,1.5,0.85,2.1,2,7.18
Alexandre Lacazette,Arsenal,2507,13,8,2.3,0.742,1.3,4,7.17
Gylfi Sigurdsson,Everton,3134,13,6,2.3,0.762,0.5,6,7.16
Sol Bamba,Cardiff,2477,4,1,0.8,0.691,3.4,3,7.15
Idrissa Gueye,Everton,2826,0,2,0.6,0.843,1.0,2,7.14
Youri Tielemans,Leicester,1092,3,4,2.4,0.85,0.9,0,7.14
Paulo Gazzaniga,Tottenham,270,0,0,0.0,0.642,0.0,0,7.14
Michael Keane,Everton,2970,1,2,0.9,0.8079999999999999,5.8,2,7.13
Étienne Capoue,Watford,2947,1,3,0.5,0.8440000000000001,2.0,2,7.13
Matt Doherty,Wolves,3147,4,5,1.2,0.716,3.8,2,7.12
Willy Boly,Wolves,3169,4,0,0.7,0.81,3.8,2,7.12
Andy Robertson,Liverpool,3219,0,11,0.4,0.8320000000000001,0.7,1,7.12
James Tarkowski,Burnley,3087,3,1,0.6,0.695,4.8,3,7.11
Shane Duffy,Brighton,3088,5,1,1.1,0.752,5.3,6,7.11
Troy Deeney,Watford,2548,9,5,2.0,0.607,6.5,4,7.11
Joël Matip,Liverpool,1535,1,0,0.4,0.8690000000000001,3.0,2,7.11
Kieran Trippier,Tottenham,2278,1,3,0.3,0.789,1.1,1,7.1
Pierre Emerick Aubameyang,Arsenal,2733,22,5,2.6,0.74,0.9,4,7.1
Son Heung Min,Tottenham,2049,12,6,2.4,0.856,0.1,4,7.1
Ilkay Gündogan,Man City,2136,6,3,1.4,0.9079999999999999,0.8,2,7.1
Ryan Fraser,Bournemouth,3173,7,14,1.3,0.769,0.3,5,7.08
Christian Eriksen,Tottenham,2772,8,12,2.4,0.81,0.4,2,7.08
Dejan Lovren,Liverpool,986,1,0,0.5,0.866,4.1,1,7.08
David Luiz,Chelsea,3239,3,2,0.9,0.88,2.3,0,7.08
Philip Billing,Huddersfield,2192,2,0,1.6,0.7859999999999999,3.3,3,7.08
Mark Travers,Bournemouth,180,0,0,0.0,0.6509999999999999,0.0,0,7.08
Raúl Jiménez,Wolves,3125,13,7,2.9,0.728,2.1,4,7.07
Jannik Vestergaard,Southampton,2030,0,0,0.6,0.769,3.7,0,7.07
João Moutinho,Wolves,3040,1,8,0.5,0.848,0.6,1,7.06
Ciaran Clark,Newcastle,858,3,0,0.6,0.75,3.9,1,7.06
Willian,Chelsea,2109,3,6,1.9,0.857,0.3,2,7.06
Shkodran Mustafi,Arsenal,2617,2,0,0.6,0.8190000000000001,4.0,2,7.05
Petr Cech,Arsenal,588,0,0,0.0,0.6829999999999999,0.3,1,7.05
Aymeric Laporte,Man City,3057,3,3,0.7,0.9229999999999999,2.2,1,7.05
Salomón Rondón,Newcastle,2609,11,7,2.8,0.6990000000000001,4.6,1,7.05
Kevin De Bruyne,Man City,978,2,2,1.6,0.8370000000000001,0.3,2,7.05
Ben Chilwell,Leicester,3240,0,4,0.6,0.723,3.1,4,7.04
Jan Bednarek,Southampton,2151,0,1,0.2,0.705,3.2,3,7.04
Dwight McNeil,Burnley,1599,3,5,1.3,0.757,1.0,2,7.03
Granit Xhaka,Arsenal,2502,4,2,1.0,0.853,1.8,4,7.03
Aleksandar Mitrovic,Fulham,3282,11,3,3.5,0.72,6.5,4,7.03
Lukasz Fabianski,West Ham,3420,0,0,0.0,0.49700000000000005,0.3,1,7.02
César Azpilicueta,Chelsea,3403,1,5,0.4,0.87,1.8,1,7.01
Harry Maguire,Leicester,2599,3,0,1.0,0.856,3.8,2,7.01
Danilo,Man City,806,1,0,1.3,0.87,1.6,1,7.01
José Holebas,Watford,2394,3,6,0.6,0.685,2.2,0,7.0
Callum Wilson,Bournemouth,2535,14,9,2.2,0.6709999999999999,1.5,4,6.99
Fabián Balbuena,West Ham,2014,1,0,0.8,0.794,3.0,1,6.98
Nicolás Otamendi,Man City,1234,0,0,0.8,0.927,2.2,0,6.98
Andros Townsend,Crystal Palace,3018,6,4,1.7,0.7879999999999999,0.1,2,6.98
Pedro,Chelsea,1781,8,2,1.8,0.865,0.3,5,6.97
Leander Dendoncker,Wolves,1469,2,0,0.9,0.794,2.9,2,6.97
Nacho Monreal,Arsenal,1861,1,3,0.3,0.8759999999999999,1.6,0,6.97
Jefferson Lerma,Bournemouth,2511,2,0,1.0,0.8320000000000001,2.5,0,6.97
Steve Cook,Bournemouth,2787,1,1,0.7,0.7929999999999999,4.1,1,6.96
Sean Morrison,Cardiff,3040,1,3,1.0,0.628,6.6,1,6.96
Kyle Walker,Man City,2777,1,1,0.6,0.9009999999999999,1.4,0,6.96
Ander Herrera,Man Utd,1405,2,3,1.0,0.878,0.2,2,6.96
Joshua King,Bournemouth,2974,12,3,2.1,0.72,2.5,5,6.96
Riyad Mahrez,Man City,1338,7,4,2.0,0.847,0.7,3,6.96
Hugo Lloris,Tottenham,2970,0,0,0.0,0.736,0.3,2,6.96
Lucas Moura,Tottenham,2128,10,0,1.4,0.7609999999999999,1.1,3,6.96
Isaac Hayden,Newcastle,1864,1,4,0.9,0.794,2.2,2,6.96
Fabinho,Liverpool,2013,1,2,0.6,0.853,2.0,0,6.95
Kyle Walker Peters,Tottenham,374,0,3,0.3,0.83,0.5,0,6.95
Florian Lejeune,Newcastle,1055,0,0,0.6,0.762,2.6,0,6.95
Marcus Rashford,Man Utd,2345,10,6,2.5,0.7809999999999999,0.9,3,6.95
Matt Ritchie,Newcastle,2940,2,8,1.1,0.731,1.0,1,6.95
Ayoze Pérez,Newcastle,2928,12,2,1.5,0.759,0.7,3,6.95
Dele Alli,Tottenham,1835,5,3,1.6,0.8029999999999999,0.8,1,6.95
