home,away,home_score,away_score
Newcastle,Arsenal,2,0
Southampton,Liverpool,1,2
Everton,Crystal Palace,3,2
Aston Villa,Burnley,1,1
Chelsea,Leicester,1,1
Arsenal,Everton,5,1
Brentford,Leeds,1,2
Brighton,West Ham,3,1
Burnley,Newcastle,1,2
Chelsea,Watford,2,1
Crystal Palace,Manchester United,1,0
Leicester,Southampton,4,1
Liverpool,Wolves,3,1
Manchester City,Aston Villa,3,2
Norwich,Tottenham,0,5
Newcastle,Arsenal,2,0
Southampton,Liverpool,1,2
Everton,Crystal Palace,3,2
Aston Villa,Burnley,1,1
Chelsea,Leicester,1,1
Arsenal,Everton,5,1
Brentford,Leeds,1,2
Brighton,West Ham,3,1
Burnley,Newcastle,1,2
Chelsea,Watford,2,1
Crystal Palace,Manchester United,1,0
Leicester,Southampton,4,1
Liverpool,Wolves,3,1
Manchester City,Aston Villa,3,2
Norwich,Tottenham,0,5
Aston Villa,Liverpool,1,2
Leeds,Chelsea,0,3
Leicester,Norwich,3,0
Watford,Everton,0,0
Wolves,Manchester City,1,5
Tottenham,Arsenal,3,0
Tottenham,Burnley,1,0
Leeds,Brighton,1,1
Aston Villa,Crystal Palace,1,1
Wolves,Norwich,1,1
West Ham,Manchester City,2,2
Watford,Leicester,1,5
Everton,Brentford,2,3
Manchester United,Brentford,3,0
Crystal Palace,Watford,1,0
Chelsea,Wolves,2,2
Burnley,Aston Villa,1,3
Brentford,Southampton,3,0
Brighton,Manchester United,4,0
Liverpool,Tottenham,1,1
Leicester,Everton,1,2
Arsenal,Leeds,2,1
Norwich,West Ham,0,4
Manchester City,Newcastle,5,0
Crystal Palace,Leeds,0,0
Manchester United,Chelsea,1,1
Newcastle,Liverpool,0,1
Southampton,Crystal Palace,1,2
Aston Villa,Norwich,2,0
Watford,Burnley,1,2
Wolves,Brighton,0,3
Leeds,Manchester City,0,4
Everton,Chelsea,1,0
Tottenham,Leicester,3,1
West Ham,Arsenal,1,2
Liverpool,Manchester United,4,0
Everton,Leicester,1,1
Chelsea,Arsenal,2,4
