home,away,home_score,away_score
Newcastle,Leicester,0,0
Brighton,Manchester City,1,1
Manchester United,Chelsea,4,1
Aston Villa,Brighton,2,1
Brentford,Manchester City,1,0
Chelsea,Newcastle,1,1
Crystal Palace,Nottingham Forest,1,1
Everton,Bournemouth,1,0
Leeds,Tottenham,1,4
Leicester,West Ham,2,1
Manchester United,Fulham,2,1
Southampton,Liverpool,4,4
Arsenal,Wolves,5,0
Newcastle,Leicester,0,0
Brighton,Manchester City,1,1
Manchester United,Chelsea,4,1
Aston Villa,Brighton,2,1
Brentford,Manchester City,1,0
Chelsea,Newcastle,1,1
Crystal Palace,Nottingham Forest,1,1
Everton,Bournemouth,1,0
Leeds,Tottenham,1,4
Leicester,West Ham,2,1
Manchester United,Fulham,2,1
Southampton,Liverpool,4,4
Arsenal,Wolves,5,0
Leicester,Liverpool,0,3
Newcastle,Brighton,4,1
Tottenham,Brentford,1,3
Wolves,Everton,1,1
Bournemouth,Manchester United,0,1
Fulham,Crystal Palace,2,2
Liverpool,Aston Villa,1,1
Nottingham Forest,Arsenal,1,0
West Ham,Leeds,3,1
Brighton,Southampton,3,1
Manchester City,Chelsea,1,0
Fulham,Leicester,5,3
Brighton,Everton,1,5
Nottingham Forest,Southampton,4,3
Leeds,Newcastle,2,2
Manchester United,Wolves,2,0
Chelsea,Nottingham Forest,2,2
Crystal Palace,Bournemouth,2,0
Southampton,Fulham,0,2
Aston Villa,Tottenham,2,1
Brentford,West Ham,2,0
Everton,Manchester City,0,3
Arsenal,Brighton,0,3
Leicester,Everton,2,2
Arsenal,Chelsea,3,1
Liverpool,Fulham,1,0
Manchester City,West Ham,3,0
Brighton,Manchester United,1,0
Bournemouth,Chelsea,1,3
Manchester City,Leeds,2,1
Wolves,Aston Villa,1,0
Tottenham,Crystal Palace,1,0
Liverpool,Brentford,1,0
Newcastle,Arsenal,0,2
West Ham,Manchester United,1,0
Leicester,Everton,2,2
Arsenal,Chelsea,3,1
Liverpool,Fulham,1,0
Manchester City,West Ham,3,0
Brighton,Manchester United,1,0
Bournemouth,Chelsea,1,3
Manchester City,Leeds,2,1
Wolves,Aston Villa,1,0
Tottenham,Crystal Palace,1,0
Liverpool,Brentford,1,0
Newcastle,Arsenal,0,2
West Ham,Manchester United,1,0
Wolves,Crystal Palace,2,0
Aston Villa,Fulham,1,0
Leeds,Leicester,1,1
Nottingham Forest,Brighton,3,1
Chelsea,Brentford,0,2
West Ham,Liverpool,1,2
Manchester City,Arsenal,4,1
Southampton,Bournemouth,0,1
Everton,Newcastle,1,4
Tottenham,Manchester United,2,2
Crystal Palace,West Ham,4,3
Brentford,Nottingham Forest,2,1
Brighton,Wolves,6,0
Bournemouth,Leeds,4,1
Fulham,Manchester City,1,2
Manchester United,Aston Villa,1,0
Newcastle,Southampton,3,1
Liverpool,Tottenham,4,3
Leeds,Liverpool,1,6
Arsenal,Southampton,3,3
Fulham,Leeds,2,1
Leicester,Wolves,2,1
Liverpool,Nottingham Forest,3,2
Brentford,Aston Villa,1,1
Crystal Palace,Everton,0,0
Newcastle,Tottenham,6,1
Bournemouth,West Ham,0,4
Aston Villa,Newcastle,3,0
Chelsea,Brighton,1,2
Everton,Fulham,1,3
Southampton,Crystal Palace,0,2
Wolves,Brentford,2,0
Tottenham,Bournemouth,2,3
Manchester City,Leicester,3,1
West Ham,Arsenal,2,2
Nottingham Forest,Manchester United,0,2
Everton,Tottenham,1,1
Bournemouth,Brighton,0,2
Leeds,Nottingham Forest,2,1
Leicester,Aston Villa,1,2
Chelsea,Liverpool,0,0
Manchester United,Brentford,1,0
West Ham,Newcastle,1,5
Manchester United,Everton,2,0
Leicester,Bournemouth,0,1
Aston Villa,Nottingham Forest,2,0
Brentford,Newcastle,1,2
Fulham,West Ham,0,1
Tottenham,Brighton,2,1
Wolves,Chelsea,1,0
Southampton,Manchester City,1,4
Leeds,Crystal Palace,1,5
Liverpool,Arsenal,2,2
Manchester City,Liverpool,4,1
Nottingham Forest,Wolves,1,1
Arsenal,Leeds,4,1
Bournemouth,Fulham,2,1
Brighton,Brentford,3,3
Crystal Palace,Leicester,2,1
Chelsea,Aston Villa,0,2
West Ham,Southampton,1,0
Newcastle,Manchester United,2,0
Southampton,Brentford,0,2
Brighton,Crystal Palace,1,0
Nottingham Forest,Newcastle,1,2
Southampton,Tottenham,3,3
Wolves,Leeds,2,4
Aston Villa,Bournemouth,3,0
Brentford,Leicester,1,1
Chelsea,Everton,2,2
Arsenal,Crystal Palace,4,1
Brentford,Fulham,3,2
Bournemouth,Liverpool,1,0
Leeds,Brighton,2,2
Leicester,Chelsea,1,3
Everton,Brentford,1,0
Tottenham,Nottingham Forest,3,1
Crystal Palace,Manchester City,0,1
Manchester United,Southampton,0,0
West Ham,Aston Villa,1,1
Fulham,Arsenal,0,3
Newcastle,Wolves,2,1
Arsenal,Everton,4,0
Liverpool,Wolves,2,0
Manchester City,Newcastle,2,0
Wolves,Tottenham,1,0
Arsenal,Bournemouth,3,2
Aston Villa,Crystal Palace,1,0
Brighton,West Ham,4,0
Chelsea,Leeds,1,0
Southampton,Leicester,1,0
Nottingham Forest,Everton,2,2
Liverpool,Manchester United,7,0
Fulham,Wolves,1,1
Leeds,Southampton,1,0
Leicester,Arsenal,0,1
West Ham,Nottingham Forest,4,0
Everton,Aston Villa,0,2
Bournemouth,Manchester City,1,4
Crystal Palace,Liverpool,0,0
Tottenham,Chelsea,2,0
Liverpool,Everton,2,0
Arsenal,Manchester City,1,3
Aston Villa,Arsenal,2,4
Brentford,Crystal Palace,1,1
Brighton,Fulham,0,1
Chelsea,Southampton,0,1
Everton,Leeds,1,0
Nottingham Forest,Manchester City,1,1
Wolves,Bournemouth,0,1
Newcastle,Liverpool,0,2
Manchester United,Leicester,3,0
Tottenham,West Ham,2,0
Manchester United,Leeds,2,2
West Ham,Chelsea,1,1
Southampton,Wolves,1,2
Arsenal,Brentford,1,1
Crystal Palace,Brighton,1,1
Fulham,Nottingham Forest,2,0
Leicester,Tottenham,4,1
Bournemouth,Newcastle,1,1
Leeds,Manchester United,0,2
Manchester City,Aston Villa,3,1
Chelsea,Fulham,0,0
Everton,Arsenal,1,0
Manchester United,Crystal Palace,2,1
Aston Villa,Leicester,2,4
Brentford,Southampton,3,0
Brighton,Bournemouth,1,0
Wolves,Liverpool,3,0
Newcastle,West Ham,1,1
Nottingham Forest,Leeds,1,0
Tottenham,Manchester City,1,0
Fulham,Tottenham,0,1
Crystal Palace,Manchester United,1,1
Manchester City,Tottenham,4,2
Liverpool,Chelsea,0,0
Southampton,Aston Villa,0,1
West Ham,Everton,2,0
Leicester,Brighton,2,2
Bournemouth,Nottingham Forest,1,1
Crystal Palace,Newcastle,0,0
Leeds,Brentford,0,0
Manchester City,Wolves,3,0
Arsenal,Manchester United,3,2
Fulham,Chelsea,2,1
Aston Villa,Leeds,2,1
Manchester United,Manchester City,2,1
Nottingham Forest,Leicester,2,0
Brighton,Liverpool,3,0
Everton,Southampton,1,2
Wolves,West Ham,1,0
Brentford,Bournemouth,2,0
Chelsea,Crystal Palace,1,0
Newcastle,Fulham,1,0
Tottenham,Arsenal,0,2
Brentford,Liverpool,3,1
Arsenal,Newcastle,0,0
Everton,Brighton,1,4
Leicester,Fulham,0,1
Manchester United,Bournemouth,3,0
Southampton,Nottingham Forest,0,1
Leeds,West Ham,2,2
Crystal Palace,Tottenham,0,4
Aston Villa,Wolves,1,1
Chelsea,Manchester City,0,1
Brentford,Tottenham,2,2
Crystal Palace,Fulham,0,3
Everton,Wolves,1,2
Leicester,Newcastle,0,3
Southampton,Brighton,1,3
Aston Villa,Liverpool,1,3
Arsenal,West Ham,3,1
Chelsea,Bournemouth,2,0
Manchester United,Nottingham Forest,3,0
Leeds,Manchester City,1,3
West Ham,Brentford,0,2
Liverpool,Leicester,2,1
Wolves,Manchester United,0,1
Manchester City,Everton,1,1
Newcastle,Leeds,0,0
Bournemouth,Crystal Palace,0,2
Fulham,Southampton,2,1
Brighton,Arsenal,2,4
Tottenham,Aston Villa,0,2
Nottingham Forest,Chelsea,1,1
Manchester City,Brentford,1,2
Nottingham Forest,Crystal Palace,1,0
Tottenham,Leeds,4,3
West Ham,Leicester,0,2
Liverpool,Southampton,3,1
Bournemouth,Everton,3,0
Newcastle,Chelsea,1,0
Wolves,Arsenal,0,2
Brighton,Aston Villa,1,2
Fulham,Manchester United,1,2
Leeds,Bournemouth,4,3
Manchester City,Fulham,2,1
Nottingham Forest,Brentford,2,2
Wolves,Brighton,2,3
Everton,Leicester,0,2
Chelsea,Arsenal,0,1
Aston Villa,Manchester United,3,1
Southampton,Newcastle,1,4
West Ham,Crystal Palace,1,2
Tottenham,Liverpool,1,2
West Ham,Bournemouth,2,0
Leicester,Manchester City,0,1
Newcastle,Aston Villa,4,0
Bournemouth,Tottenham,2,3
Brentford,Wolves,1,1
Brighton,Chelsea,4,1
Crystal Palace,Southampton,1,0
Fulham,Everton,0,0
Liverpool,Leeds,1,2
Arsenal,Nottingham Forest,5,0
Manchester United,West Ham,1,0
Brighton,Nottingham Forest,0,0
Crystal Palace,Wolves,2,1
Newcastle,Everton,1,0
Liverpool,West Ham,1,0
Bournemouth,Southampton,0,1
Brentford,Chelsea,0,0
Manchester United,Tottenham,2,0
Fulham,Aston Villa,3,0
Leicester,Leeds,2,0
Nottingham Forest,Liverpool,1,0
Everton,Crystal Palace,3,0
Manchester City,Brighton,3,1
Chelsea,Manchester United,1,1
Leeds,Fulham,2,3
Aston Villa,Brentford,4,0
Southampton,Arsenal,1,1
Wolves,Leicester,0,4
Tottenham,Newcastle,1,2
Nottingham Forest,Aston Villa,1,1
Brentford,Brighton,2,0
Leicester,Crystal Palace,0,0
Fulham,Bournemouth,2,2
Wolves,Nottingham Forest,1,0
Tottenham,Everton,2,0
Manchester United,Newcastle,0,0
Southampton,West Ham,1,1
Leeds,Arsenal,0,1
Aston Villa,Chelsea,0,2
Liverpool,Manchester City,1,0
Leicester,Nottingham Forest,4,0
Bournemouth,Leicester,2,1
Chelsea,Wolves,3,0
Manchester City,Southampton,4,0
Newcastle,Brentford,5,1
Brighton,Tottenham,0,1
Crystal Palace,Leeds,2,1
West Ham,Fulham,3,1
Arsenal,Liverpool,3,2
Everton,Manchester United,1,2
Arsenal,Tottenham,3,1
Bournemouth,Brentford,0,0
Crystal Palace,Chelsea,1,2
Fulham,Newcastle,1,4
Liverpool,Brighton,3,3
