home,away,home_score,away_score
Chelsea,Watford,4,3
Arsenal,Sunderland,2,0
Manchester City,West Bromwich Albion,3,1
Southampton,Manchester United,0,0
Leicester,Tottenham,1,6
Arsenal,Everton,3,1
Burnley,West Ham,1,2
Chelsea,Sunderland,5,1
Hull,Tottenham,1,7
Leicester,Bournemouth,1,1
Liverpool,Middlesbrough,3,0
Manchester United,Crystal Palace,2,0
Southampton,Stoke,0,1
Swansea,West Bromwich Albion,2,1
Watford,Manchester City,0,5
Chelsea,Watford,4,3
Arsenal,Sunderland,2,0
Manchester City,West Bromwich Albion,3,1
Southampton,Manchester United,0,0
Leicester,Tottenham,1,6
Arsenal,Everton,3,1
Burnley,West Ham,1,2
Chelsea,Sunderland,5,1
Hull,Tottenham,1,7
Leicester,Bournemouth,1,1
Liverpool,Middlesbrough,3,0
Manchester United,Crystal Palace,2,0
Southampton,Stoke,0,1
Swansea,West Bromwich Albion,2,1
Watford,Manchester City,0,5
Chelsea,Middlesbrough,3,0
Southampton,Arsenal,0,2
Everton,Watford,1,0
West Bromwich Albion,Chelsea,0,1
Manchester City,Leicester,2,1
Middlesbrough,Southampton,1,2
Bournemouth,Burnley,2,1
Sunderland,Swansea,0,2
Stoke,Arsenal,1,4
Crystal Palace,Hull,4,0
West Ham,Liverpool,0,4
Tottenham,Manchester United,2,1
Watford,Liverpool,0,1
West Ham,Tottenham,1,0
Manchester City,Crystal Palace,5,0
Bournemouth,Stoke,2,2
Burnley,West Bromwich Albion,2,2
Hull,Sunderland,0,2
Leicester,Watford,3,0
Swansea,Everton,1,0
Liverpool,Southampton,0,0
Arsenal,Manchester United,2,0
Chelsea,Southampton,4,2
Middlesbrough,Sunderland,1,0
Arsenal,Leicester,1,0
Crystal Palace,Tottenham,0,1
Manchester City,Manchester United,0,0
Southampton,Hull,0,0
Stoke,West Ham,0,0
Sunderland,Bournemouth,0,1
West Bromwich Albion,Leicester,0,1
Crystal Palace,Burnley,0,2
Manchester United,Swansea,1,1
Middlesbrough,Manchester City,2,2
Everton,Chelsea,0,3
Tottenham,Arsenal,2,0
Middlesbrough,Arsenal,1,2
Bournemouth,Middlesbrough,4,0
Hull,Watford,2,0
Swansea,Stoke,2,0
West Ham,Everton,0,0
Burnley,Manchester United,0,2
Liverpool,Crystal Palace,1,2
Crystal Palace,Arsenal,3,0
Tottenham,Bournemouth,4,0
Watford,Swansea,1,0
Stoke,Hull,3,1
Sunderland,West Ham,2,2
