name,team,min,goal,assist,shot,pass,aer,mom,rating
Harry Kane,Tottenham,3087,23,14,3.9,0.6990000000000001,2.2,13,7.79
Kevin De Bruyne,Man City,2001,6,12,3.2,0.8170000000000001,0.2,8,7.65
Jack Grealish,Aston Villa,2184,6,10,1.9,0.833,1.0,4,7.56
Bruno Fernandes,Man Utd,3110,18,12,3.3,0.7829999999999999,0.4,6,7.43
Tomás Soucek,West Ham,3420,10,1,1.7,0.755,6.2,6,7.36
Mason Mount,Chelsea,2892,6,5,2.3,0.865,0.6,4,7.33
Sadio Mané,Liverpool,2813,11,7,2.7,0.787,1.0,7,7.33
Riyad Mahrez,Man City,1955,9,6,2.1,0.884,0.6,4,7.31
João Cancelo,Man City,2302,2,3,1.3,0.871,1.1,2,7.31
Gareth Bale,Tottenham,923,11,2,1.9,0.732,1.2,4,7.3
Harry Kane,Tottenham,3087,23,14,3.9,0.6990000000000001,2.2,13,7.79
Kevin De Bruyne,Man City,2001,6,12,3.2,0.8170000000000001,0.2,8,7.65
Jack Grealish,Aston Villa,2184,6,10,1.9,0.833,1.0,4,7.56
Bruno Fernandes,Man Utd,3110,18,12,3.3,0.7829999999999999,0.4,6,7.43
Tomás Soucek,West Ham,3420,10,1,1.7,0.755,6.2,6,7.36
Mason Mount,Chelsea,2892,6,5,2.3,0.865,0.6,4,7.33
Sadio Mané,Liverpool,2813,11,7,2.7,0.787,1.0,7,7.33
Riyad Mahrez,Man City,1955,9,6,2.1,0.884,0.6,4,7.31
João Cancelo,Man City,2302,2,3,1.3,0.871,1.1,2,7.31
Gareth Bale,Tottenham,923,11,2,1.9,0.732,1.2,4,7.3
Nathaniel Phillips,Liverpool,1456,1,1,0.9,0.8420000000000001,5.6,3,7.29
Ilkay Gündogan,Man City,2031,13,2,1.9,0.917,0.4,2,7.29
Son Heung Min,Tottenham,3127,17,10,1.8,0.8340000000000001,0.5,0,7.27
Wilfred Ndidi,Leicester,2179,1,4,0.6,0.8690000000000001,2.2,1,7.25
Jesse Lingard,West Ham,1426,9,4,2.6,0.836,0.0,2,7.22
Raphinha,Leeds,2364,6,9,2.2,0.723,0.3,4,7.22
Raheem Sterling,Man City,2537,10,7,2.3,0.862,0.3,4,7.22
James Rodríguez,Everton,1776,6,4,1.6,0.833,0.3,3,7.21
Ollie Watkins,Aston Villa,3329,14,5,2.6,0.715,3.7,4,7.18
Kortney Hause,Aston Villa,630,1,0,0.7,0.746,5.6,0,7.17
Rodri,Man City,2749,2,2,0.9,0.9129999999999999,2.4,1,7.17
Michail Antonio,West Ham,1984,10,5,2.4,0.682,2.8,2,7.17
Dominic Calvert Lewin,Everton,2876,16,0,2.5,0.687,4.7,4,7.17
Jimmy Dunne,Burnley,270,1,0,2.3,0.6859999999999999,7.7,0,7.16
Aaron Wan Bissaka,Man Utd,3060,2,4,0.2,0.8490000000000001,1.1,3,7.15
Phil Foden,Man City,1614,9,5,1.6,0.882,0.6,3,7.14
Joe Willock,Newcastle,980,8,0,1.4,0.7709999999999999,0.8,1,7.13
Marcus Rashford,Man Utd,2928,11,9,2.1,0.821,0.7,3,7.13
Thiago Alcântara,Liverpool,1858,1,0,0.9,0.8959999999999999,1.3,2,7.12
Allan Saint Maximin,Newcastle,1568,3,4,1.2,0.825,0.3,5,7.12
Gabriel Jesus,Man City,2060,9,4,1.9,0.85,0.7,1,7.11
Pedro Neto,Wolves,2559,5,6,2.0,0.884,0.6,5,7.11
Adama Traoré,Wolves,2645,2,2,1.2,0.763,2.0,4,7.11
Roberto Firmino,Liverpool,2852,9,7,2.3,0.807,0.6,4,7.11
