home,away,home_score,away_score
Manchester United,Fulham,1,1
Southampton,Leeds,0,2
Brighton,Manchester City,3,2
Chelsea,Leicester,2,1
Newcastle,Sheffield United,1,0
Tottenham,Aston Villa,1,2
Everton,Wolves,1,0
Crystal Palace,Arsenal,1,3
Burnley,Liverpool,0,3
West Bromwich Albion,West Ham,1,3
Arsenal,Brighton,2,0
Aston Villa,Chelsea,2,1
Fulham,Newcastle,0,2
Leeds,West Bromwich Albion,3,1
Leicester,Tottenham,2,4
Liverpool,Crystal Palace,2,0
Manchester City,Everton,5,0
Sheffield United,Burnley,1,0
West Ham,Southampton,3,0
Wolves,Manchester United,1,2
Manchester United,Fulham,1,1
Southampton,Leeds,0,2
Brighton,Manchester City,3,2
Chelsea,Leicester,2,1
Newcastle,Sheffield United,1,0
Tottenham,Aston Villa,1,2
Everton,Wolves,1,0
Crystal Palace,Arsenal,1,3
Burnley,Liverpool,0,3
West Bromwich Albion,West Ham,1,3
Arsenal,Brighton,2,0
Aston Villa,Chelsea,2,1
Fulham,Newcastle,0,2
Leeds,West Bromwich Albion,3,1
Leicester,Tottenham,2,4
Liverpool,Crystal Palace,2,0
Manchester City,Everton,5,0
Sheffield United,Burnley,1,0
West Ham,Southampton,3,0
Wolves,Manchester United,1,2
Fulham,Burnley,0,2
Manchester United,Leicester,1,2
Southampton,Crystal Palace,3,1
Chelsea,Arsenal,0,1
Aston Villa,Everton,0,0
Manchester United,Liverpool,2,4
Newcastle,Manchester City,3,4
Burnley,Leeds,0,4
Southampton,Fulham,3,1
Brighton,West Ham,1,1
Crystal Palace,Aston Villa,3,2
Tottenham,Wolves,2,0
West Bromwich Albion,Liverpool,1,2
Everton,Sheffield United,0,1
West Bromwich Albion,Wolves,1,1
Burnley,West Ham,1,2
Leicester,Newcastle,2,4
Leeds,Tottenham,3,1
Sheffield United,Crystal Palace,0,2
Manchester City,Chelsea,1,2
Liverpool,Southampton,2,0
Wolves,Brighton,2,1
Aston Villa,Manchester United,1,3
West Ham,Everton,0,1
Arsenal,West Bromwich Albion,3,1
Leicester,Crystal Palace,2,1
Southampton,Leicester,1,1
Crystal Palace,Manchester City,0,2
Brighton,Leeds,2,0
Chelsea,Fulham,2,0
Everton,Aston Villa,1,2
Newcastle,Arsenal,0,2
Tottenham,Sheffield United,4,0
Leeds,Liverpool,1,1
Chelsea,Brighton,0,0
Tottenham,Southampton,2,1
Aston Villa,Manchester City,1,2
Leicester,West Bromwich Albion,3,0
Arsenal,Everton,0,1
Liverpool,Newcastle,1,1
West Ham,Chelsea,0,1
Sheffield United,Brighton,1,0
Wolves,Burnley,0,4
Leeds,Manchester United,0,0
Aston Villa,West Bromwich Albion,2,2
West Bromwich Albion,Southampton,3,0
Brighton,Everton,0,0
Everton,Tottenham,2,2
Newcastle,West Ham,3,2
Wolves,Sheffield United,1,0
Arsenal,Fulham,1,1
Manchester United,Burnley,3,1
Everton,Crystal Palace,1,1
Wolves,West Ham,2,3
Fulham,Wolves,0,1
Manchester City,Leeds,1,2
Liverpool,Aston Villa,2,1
Crystal Palace,Chelsea,1,4
Burnley,Newcastle,1,2
West Ham,Leicester,3,2
Tottenham,Manchester United,1,3
Sheffield United,Arsenal,0,3
Chelsea,West Bromwich Albion,2,5
Leeds,Sheffield United,2,1
Leicester,Manchester City,0,2
Arsenal,Liverpool,0,3
Southampton,Burnley,3,2
Newcastle,Tottenham,2,2
Aston Villa,Fulham,3,1
Manchester United,Brighton,2,1
Wolves,Liverpool,0,1
Fulham,Leeds,1,2
Brighton,Newcastle,3,0
West Ham,Arsenal,3,3
Aston Villa,Tottenham,0,2
Chelsea,Everton,2,0
West Ham,Leeds,2,0
Manchester City,Southampton,5,2
Newcastle,Aston Villa,1,1
Leeds,Chelsea,0,0
Crystal Palace,West Bromwich Albion,1,0
Everton,Burnley,1,2
Fulham,Manchester City,0,3
Southampton,Brighton,1,2
Leicester,Sheffield United,5,0
Arsenal,Tottenham,2,1
Manchester United,West Ham,1,0
Everton,Southampton,1,0
Manchester City,Wolves,4,1
Sheffield United,Aston Villa,1,0
Burnley,Leicester,1,1
