name,team,min,goal,assist,shot,pass,aer,mom,rating
Kevin De Bruyne,Man City,2800,13,20,2.8,0.815,0.5,10,7.97
Ricardo Pereira,Leicester,2520,3,2,0.6,0.789,1.5,2,7.5
Adama Traoré,Wolves,2608,4,9,1.2,0.7440000000000001,1.2,6,7.49
Riyad Mahrez,Man City,1942,11,9,2.2,0.9009999999999999,0.3,3,7.48
Sadio Mané,Liverpool,2756,18,7,2.2,0.816,1.2,7,7.45
Mohamed Salah,Liverpool,2888,19,10,3.9,0.765,0.4,6,7.4
Raheem Sterling,Man City,2661,20,1,3.0,0.828,0.7,1,7.35
Marcus Rashford,Man Utd,2655,17,7,3.1,0.773,0.7,7,7.35
James Maddison,Leicester,2629,6,3,2.4,0.83,0.2,4,7.34
Harry Kane,Tottenham,2590,18,2,2.8,0.667,2.6,4,7.33
Kevin De Bruyne,Man City,2800,13,20,2.8,0.815,0.5,10,7.97
Bruno Fernandes,Man Utd,1223,8,7,3.1,0.757,0.2,3,7.73
Ricardo Pereira,Leicester,2520,3,2,0.6,0.789,1.5,2,7.5
Adama Traoré,Wolves,2608,4,9,1.2,0.7440000000000001,1.2,6,7.49
Riyad Mahrez,Man City,1942,11,9,2.2,0.9009999999999999,0.3,3,7.48
Sadio Mané,Liverpool,2756,18,7,2.2,0.816,1.2,7,7.45
Mohamed Salah,Liverpool,2888,19,10,3.9,0.765,0.4,6,7.4
Raheem Sterling,Man City,2661,20,1,3.0,0.828,0.7,1,7.35
Marcus Rashford,Man Utd,2655,17,7,3.1,0.773,0.7,7,7.35
James Maddison,Leicester,2629,6,3,2.4,0.83,0.2,4,7.34
Harry Kane,Tottenham,2590,18,2,2.8,0.667,2.6,4,7.33
Virgil van Dijk,Liverpool,3420,5,1,0.8,0.8909999999999999,5.0,5,7.32
Anthony Martial,Man Utd,2640,17,6,2.5,0.8059999999999999,0.6,4,7.31
Willian,Chelsea,2605,9,7,2.0,0.8270000000000001,0.3,4,7.31
Marcos Alonso,Chelsea,1433,4,2,1.7,0.826,2.3,1,7.3
Michail Antonio,West Ham,1773,10,3,2.8,0.684,3.8,2,7.29
Allan Saint Maximin,Newcastle,1874,3,4,1.8,0.7909999999999999,0.3,3,7.29
Joël Matip,Liverpool,704,1,0,0.4,0.843,5.2,0,7.29
David Silva,Man City,1833,6,10,1.7,0.893,0.3,3,7.29
Gabriel Jesus,Man City,2026,14,7,3.0,0.865,1.2,2,7.26
Raúl Jiménez,Wolves,3252,17,6,3.1,0.722,2.3,3,7.25
Son Heung Min,Tottenham,2487,11,10,2.7,0.847,0.2,4,7.24
Jack Grealish,Aston Villa,3234,8,6,2.0,0.848,0.6,4,7.23
Wilfred Ndidi,Leicester,2674,2,1,0.8,0.851,2.6,4,7.23
Jamie Vardy,Leicester,3034,23,5,2.5,0.706,1.5,4,7.22
João Cancelo,Man City,1206,0,0,0.9,0.904,1.1,0,7.21
Trent Alexander Arnold,Liverpool,3176,4,13,1.2,0.767,0.4,4,7.2
Aaron Wan Bissaka,Man Utd,3102,0,4,0.2,0.813,0.7,3,7.19
Richarlison,Everton,3111,13,3,2.5,0.6659999999999999,2.1,6,7.19
Willy Boly,Wolves,1980,0,1,0.2,0.809,4.0,2,7.19
James Tarkowski,Burnley,3420,2,2,0.6,0.708,5.2,6,7.19
Paul Pogba,Man Utd,1205,1,3,1.4,0.855,1.8,1,7.18
Christian Pulisic,Chelsea,1727,9,4,2.5,0.799,0.8,4,7.18
Sergio Agüero,Man City,1460,16,3,3.2,0.805,0.1,2,7.16
Lucas Digne,Everton,3035,0,7,0.8,0.742,3.3,2,7.16
James Ward Prowse,Southampton,3420,5,3,1.5,0.809,1.9,1,7.15
Jordan Henderson,Liverpool,2244,4,5,0.7,0.845,0.9,1,7.15
Tomás Soucek,West Ham,1041,3,0,1.5,0.701,5.5,2,7.14
Roberto Firmino,Liverpool,3003,9,8,2.6,0.7959999999999999,0.7,2,7.14
César Azpilicueta,Chelsea,3230,2,6,0.8,0.807,2.6,2,7.12
Harry Maguire,Man Utd,3450,1,1,0.8,0.867,4.6,1,7.12
Danny Ings,Southampton,2815,22,2,2.4,0.627,1.2,4,7.12
Andy Robertson,Liverpool,3114,2,12,0.6,0.8370000000000001,0.9,2,7.11
Dejan Lovren,Liverpool,777,0,1,0.5,0.8320000000000001,4.9,0,7.09
Rodri,Man City,2488,3,2,0.7,0.929,1.6,1,7.09
Sébastien Haller,West Ham,2263,7,1,1.8,0.6579999999999999,6.8,3,7.08
Emiliano Buendía,Norwich,2465,1,7,1.1,0.8,0.8,6,7.08
Luke Thomas,Leicester,268,0,1,0.0,0.778,1.7,0,7.07
Nicolas Pépé,Arsenal,2016,5,6,1.6,0.8140000000000001,0.7,4,7.06
Sèrge Aurier,Tottenham,2706,1,5,0.4,0.7909999999999999,2.1,2,7.06
Dwight McNeil,Burnley,3345,2,6,1.3,0.7909999999999999,0.7,3,7.06
Diego Rico,Bournemouth,2336,0,4,0.4,0.6729999999999999,1.2,2,7.06
Troy Deeney,Watford,2234,10,2,1.7,0.542,7.3,2,7.05
Çaglar Söyüncü,Leicester,3037,1,1,0.5,0.8959999999999999,3.2,0,7.04
Bernardo Silva,Man City,2031,6,7,1.5,0.902,0.4,1,7.03
Pierre Emerick Aubameyang,Arsenal,3139,22,3,2.6,0.722,0.9,3,7.03
Emiliano Martínez,Arsenal,770,0,0,0.0,0.6729999999999999,0.0,0,7.02
João Moutinho,Wolves,3108,1,6,0.6,0.855,0.6,1,7.01
Declan Rice,West Ham,3420,1,3,0.8,0.86,1.4,2,7.01
Nemanja Matic,Man Utd,1613,0,2,0.3,0.87,1.4,1,7.0
John McGinn,Aston Villa,2318,3,3,2.0,0.8140000000000001,0.7,4,7.0
Aymeric Laporte,Man City,1104,1,0,0.3,0.925,1.7,0,7.0
Japhet Tanganga,Tottenham,526,0,0,0.5,0.8109999999999999,3.0,1,7.0
Jarrod Bowen,West Ham,922,1,4,1.8,0.77,0.4,0,6.99
Matt Doherty,Wolves,2841,4,3,1.0,0.7490000000000001,3.7,3,6.99
Hugo Lloris,Tottenham,1808,0,0,0.0,0.6709999999999999,0.3,1,6.98
Wilfried Zaha,Crystal Palace,3280,4,3,1.6,0.8109999999999999,0.3,2,6.98
Chris Basham,Sheff Utd,3255,0,1,0.2,0.747,2.9,4,6.98
Jonjo Shelvey,Newcastle,2124,6,2,1.7,0.769,0.7,1,6.97
Lucas Moura,Tottenham,2249,4,4,1.6,0.735,1.7,2,6.96
Ben Chilwell,Leicester,2376,3,3,0.6,0.7829999999999999,2.1,1,6.96
Nathan Redmond,Southampton,2771,4,4,1.8,0.737,0.6,2,6.96
Felipe Anderson,West Ham,1508,1,4,0.9,0.7879999999999999,0.2,1,6.96
Pablo Marí,Arsenal,114,0,0,0.0,0.85,2.0,0,6.95
